PRODUCT CODE,CREDIT CARD PROVIDER,SLUG,META PAGE TITLE,META PAGE DESCRIPTION,PRODUCT NAME (Short Description),PRODUCT TYPE,CARD CLASS,INTRODUCTORY INTEREST RATE,INTRODUCTORY INTEREST RATE PERIOD,INTEREST RATE,INTRODUCTORY BALANCE TRANSFER RATE,INTRODUCTORY BALANCE TRANSFER RATE PERIOD,BALANCE TRANSFER RATE,BALANCE TRANSFER FEE,INTRODUCTORY ANNUAL FEE,INTRODUCTORY ANNUAL FEE PERIOD,ANNUAL FEE,CASH ADVANCE RATE,REWARDS POINTS: STANDARD CARD CLASS,REWARDS POINTS: AMEX CARD POINTS,REWARDS POINTS: BONUS POINTS,SPECIAL OFFER,"PRODUCT DESCRIPTION
(Max 200 characters limit)",REWARDS DESCRIPTION (bullet points),OTHER FEATURES (Maximum 200 characters),INTEREST RATE TERMS AND CONDITIONS,REWARDS TERMS AND CONDITIONS,BALANCE TRANSFER TERMS AND CONDITIONS,OTHER FEATURES TERMS AND CONDITIONS,GENERAL TERMS AND CONDITIONS,ADDITIONAL CARD HOLDER,FOREIGN EXCHANGE FEES,COMPLIMENTARY TRAVEL INSURANCE,EXTENDED WARRANTY,AVAILABLE TO TEMPORARY RESIDENTS,INTEREST FREE DAYS,LATE PAYMENT FEE,MINIMUM INCOME, MINIMUM CREDIT LIMIT ,MAXIMUM CREDIT LIMIT,MINIMUM MONTHLY REPAYMENT,CATEGORIES,HANDOVER URL
NABA-LR,NAB,nab-low-rate,,,NAB Low Rate Card,Low Rate,Visa,0%,12,13.99%,4.99%,6,13.99%,N/A,N/A,N/A,$59,21.74%,N/A,N/A,N/A,0% p.a. on purchases for 12 months.,0% p.a. on purchases for 12 months. You'll also enjoy the benefits of our lowest ongoing rate on everday purchases.,N/A,-Secure online shopping with Verified by Visa,[NAB Credit Card Terms and Conditions](http://www.nab.com.au/content/dam/nab/personal/credit-cards/credit-card-terms-conditions-and-other-information/documents/nab-credit-cards-tcs.pdf),N/A,[NAB Credit Card Terms and Conditions](http://www.nab.com.au/content/dam/nab/personal/credit-cards/credit-card-terms-conditions-and-other-information/documents/nab-credit-cards-tcs.pdf),N/A,[NAB Credit Card Terms and Conditions](http://www.nab.com.au/content/dam/nab/personal/credit-cards/credit-card-terms-conditions-and-other-information/documents/nab-credit-cards-tcs.pdf),Yes,Yes,No,No,No,55,5,,500,,2.50%,"LOWINTERESTRATE,BALANCETRANSFER,INTERESTFREE",http://prf.hn/click/camref:1011lba
NABA-LF,NAB,nab-low-fee,,,NAB Low Fee Card,Low Fee,Visa/MasterCard,N/A,N/A,19.74%,4.99%,6,19.74%,N/A,$0,12 ,$30,21.74%,N/A,N/A,N/A,$0 annual fee for first year ($30 p.a. thereafter).,"No Annual fee for the first year and with our lowest annual card fee on going, this is a handy card for everyday use.",N/A,"-Purchase Protection Insurance
'-Contactless purchases with NAB Visa payWave or MasterCardPayPass
'-Emergency Travel Assistance
'-Secure online shopping with Verified by Visa",[NAB Credit Card Terms and Conditions](http://www.nab.com.au/content/dam/nab/personal/credit-cards/credit-card-terms-conditions-and-other-information/documents/nab-credit-cards-tcs.pdf),N/A,[NAB Credit Card Terms and Conditions](http://www.nab.com.au/content/dam/nab/personal/credit-cards/credit-card-terms-conditions-and-other-information/documents/nab-credit-cards-tcs.pdf),"-The complimentary insurances are issued by QBE Insurance (Australia) Limited ABN 78 003 191 035 AFSL 239545 to NAB. Access to the benefit of cover under the NAB card insurances is provided to eligible NAB cardholders by operation of s48 of the Insurance Contracts Act 1984 (Cth). The terms, conditions and exclusions of the Purchase Protection Insurance policy are specified in the NAB Purchase Protection Policy Information booklet.  A qualifying purchase is required to get the benefits of the complimentary insurances.

","-If you pay your account in full by the due date each month.
'-You will not receive interest free days on purchases while you have an outstanding balance transfer.
'-Offer is not available in conjunction with any other offer, to NAB credit card customers transferring from another NAB credit card or to NAB staff under Employee's Choice.
[NAB Credit Card Terms and Conditions](http://www.nab.com.au/content/dam/nab/personal/credit-cards/credit-card-terms-conditions-and-other-information/documents/nab-credit-cards-tcs.pdf)
'-MasterCard&reg; and the MasterCard&reg; Brand Mark are registered trademarks of MasterCard&reg; International Incorporated. PayPass is the trademark of MasterCard International Incorporated.",Yes,Yes,Yes,No,No,44,5,,500,2500,2.50%,"LOWANNUALFEE,BALANCETRANSFER,INTERESTFREE",http://prf.hn/click/camref:1100lyR
NABA-P,NAB,nab-premium,,,NAB Premium Card,Premium,Visa/MasterCard,N/A,N/A,19.74%,0%,15,21.74%,N/A,N/A,N/A,$90,21.74%,,N/A,N/A,0% p.a. on balance transfers  for 15 months.,0% p.a. on balance transfers for 15 months. You'll also get all the benefits of platinum,N/A,"-Concierge Service
'-VIP Lost Card Cover (complimentary for the first 12 months)
'-NAB Visa payWave
'-Visa Front Line Access lets cardholders reserve tickets to some of the biggest concerts and most exciting sports events
'-Emergency travel assistance",[NAB Credit Card Terms and Conditions](http://www.nab.com.au/content/dam/nab/personal/credit-cards/credit-card-terms-conditions-and-other-information/documents/nab-credit-cards-tcs.pdf),N/A,[NAB Credit Card Terms and Conditions](http://www.nab.com.au/content/dam/nab/personal/credit-cards/credit-card-terms-conditions-and-other-information/documents/nab-credit-cards-tcs.pdf),N/A,[NAB Credit Card Terms and Conditions](http://www.nab.com.au/content/dam/nab/personal/credit-cards/credit-card-terms-conditions-and-other-information/documents/nab-credit-cards-tcs.pdf),Yes,Yes,Yes,No,No,44,5,,6000,,2.00%,"PREMIUM,BALANCETRANSFER",http://prf.hn/click/camref:1011lfm
NABA-QR,NAB,nab-qantas-rewards,,,NAB Qantas Rewards Card,Qantas Rewards,American Express/MasterCard,N/A,N/A,19.99%,0%,15,19.99%,N/A,N/A,N/A,$65,21.74%,0.5,1,"20,000","0% p.a. on balance transfers for 15 months and 20,000 bonus Qantas Points.","0% p.a. on balance transfers for 15 months and 20,000 bonus Qantas Points when you make an everyday purchase.","-1 pt: $1 Amex
'-0.5 pts: $1 MasterCard","-Contactless purchases with MasterCardPayPass&trade;
'-Shop online at any US or UK store, and receive discounted shipping to your Australian address with MasterCard and bordelinx
'-Emergency travel assistance from MasterCard Global Service, 24/7
'-Global Hotel Program
'-Car Rental-complimentary upgrades and priority service where available from nab's card rental partners. 
'-American Express Invites-giving you access to pre-sales, the best seats in the house and the American Express Invites Lounge at Australian entertainment events.
'-Global Dining Program",[NAB Credit Card Terms and Conditions](http://www.nab.com.au/content/dam/nab/personal/credit-cards/credit-card-terms-conditions-and-other-information/documents/nab-credit-cards-tcs.pdf),[NAB Credit Card Terms and Conditions](http://www.nab.com.au/content/dam/nab/personal/credit-cards/credit-card-terms-conditions-and-other-information/documents/qantas-rewards-tcs.pdf),[NAB Credit Card Terms and Conditions](http://www.nab.com.au/content/dam/nab/personal/credit-cards/credit-card-terms-conditions-and-other-information/documents/nab-credit-cards-tcs.pdf),N/A,[NAB Credit Card Terms and Conditions](http://www.nab.com.au/content/dam/nab/personal/credit-cards/credit-card-terms-conditions-and-other-information/documents/nab-credit-cards-tcs.pdf),Yes,No,Yes,No,No,44,5,,500,,2.50%,"REWARDS,FREQUENTFLYER,BALANCETRANSFER,INTERESTFREE","http://prf.hn/click/camref:1100lyS
"
NABA-QRP,NAB,nab-qantas-rewards-premium,,,NAB Qantas Rewards Premium Card,Qantas Rewards Premium,American Express/Visa,N/A,N/A,19.99%,0%,15,19.99%,N/A,N/A,N/A,$250,21.74%,0.5,1.5,"40,000","0% p.a. on balance transfers for 15 months and 40,000 bonus Qantas Points.","0% p.a. on balance transfers for 15 months and 40,000 bonus Qantas Points when you make an everyday purchase.","-1.5 pt = $1 Amex
'-0.5 pts = $1 Visa","-Contactless purchases with MasterCardPayPass&trade;
'-Shop online at any US or UK store, and receive discounted shipping to your Australian address with MasterCard and bordelinx
'-Emergency travel assistance from MasterCard Global Service, 24/7
'-Global Hotel Program
'-Car Rental-complimentary upgrades and priority service where available from nab's card rental partners. 
'-American Express Invites-giving you access to pre-sales, the best seats in the house and the American Express Invites Lounge at Australian entertainment events.
'-Global Dining Program",[NAB Credit Card Terms and Conditions](http://www.nab.com.au/content/dam/nab/personal/credit-cards/credit-card-terms-conditions-and-other-information/documents/nab-credit-cards-tcs.pdf),[NAB Qantas Credit Card Account: Rewards Terms and Conditions](http://www.nab.com.au/content/dam/nab/personal/credit-cards/credit-card-terms-conditions-and-other-information/documents/qantas-rewards-tcs.pdf),[NAB Credit Card Terms and Conditions](http://www.nab.com.au/content/dam/nab/personal/credit-cards/credit-card-terms-conditions-and-other-information/documents/nab-credit-cards-tcs.pdf),N/A,[NAB Credit Card Terms and Conditions](http://www.nab.com.au/content/dam/nab/personal/credit-cards/credit-card-terms-conditions-and-other-information/documents/nab-credit-cards-tcs.pdf),Yes,Yes,Yes,No,No,44,5,,6000,,2.50%,"PREMIUM,FREQUENTFLYER,BALANCETRANSFER,INTERESTFREE",http://prf.hn/click/camref:1100lyT
NABA-VR,NAB,nab-velocity-rewards,,,NAB Velocity Rewards Card,Velocity Rewards,American Express/Visa,N/A,N/A,19.99%,0%,15,19.99%,N/A,N/A,N/A,$65,21.74%,0.5,1,"10,000","0% p.a. on balance transfers  for 15 months and 10,000 bonus Velocity Points.","0% p.a. on balance transfers for 15 months and 10,000 bonus Velocity Points when you make an everyday purchase.","-1 pt = $1 Amex
'-0.5 pts = $1 Visa",-Seven Complimentary Insurances,[NAB Credit Card Terms and Conditions](http://www.nab.com.au/content/dam/nab/personal/credit-cards/credit-card-terms-conditions-and-other-information/documents/nab-credit-cards-tcs.pdf),[Velocity NAB Credit Card Account](http://www.nab.com.au/content/dam/nab/personal/credit-cards/credit-card-terms-conditions-and-other-information/documents/velocity-rewards-tcs.pdf),[NAB Credit Card Terms and Conditions](http://www.nab.com.au/content/dam/nab/personal/credit-cards/credit-card-terms-conditions-and-other-information/documents/nab-credit-cards-tcs.pdf),N/A,[NAB Credit Card Terms and Conditions](http://www.nab.com.au/content/dam/nab/personal/credit-cards/credit-card-terms-conditions-and-other-information/documents/nab-credit-cards-tcs.pdf),Yes,Yes,Yes,No,No,44,5,,500,,2.50%,"REWARDS,VELOCITY,BALANCETRANSFER,INTERESTFREE",http://prf.hn/click/camref:1101lz8
NABA-VRP,NAB,nab-velocity-rewards-premium,,,NAB Velocity Rewards Premium Card,Velocity Rewards,American Express/Visa,N/A,N/A,19.99%,0%,15,19.99%,N/A,N/A,N/A,$150,21.74%,0.5,1.5,"20,000","0% p.a. on balance transfers for 15 months and 20,000 bonus Velocity Points.","0% p.a. on balance transfers for 15 months and 20,000 bonus Velocity Points when you make an everyday purchase.","-1.5 pt = $1 Amex
'-0.5 pts = $1 Visa","-Seven Complimentary Insurances
'-Access to the NAB 24/7 Service Centre
'-Visa Front Line Access lets cardholders reserve tickets to some of the biggest concerts and most exciting sport events- before pre-sales and before they go on sale to the general public
'-Contactless purchases with Visa payWave
'-Special offers on shows, events, experiences and movies from Visa Entertainment
'-Emergency travel assistance from Visa Global Customer Assistance Services
'-Secure online shopping with Verified by Visa
'-Enjoy first-class travel with American Express including:
'--Luxury Hotel Program
'--Car Rental- up to 15% discount off the best available rates
'--American Express Invites- gives you access to pre-sales, the best seats inn the house and the American Express Invites Lounge at Australian entertainment events
'--Global Event Program
'--Global Dining Program",[NAB Credit Card Terms and Conditions](http://www.nab.com.au/content/dam/nab/personal/credit-cards/credit-card-terms-conditions-and-other-information/documents/nab-credit-cards-tcs.pdf),N/A,[NAB Credit Card Terms and Conditions](http://www.nab.com.au/content/dam/nab/personal/credit-cards/credit-card-terms-conditions-and-other-information/documents/nab-credit-cards-tcs.pdf),N/A,[NAB Credit Card Terms and Conditions](http://www.nab.com.au/content/dam/nab/personal/credit-cards/credit-card-terms-conditions-and-other-information/documents/nab-credit-cards-tcs.pdf),Yes,Yes,Yes,No,No,44,5,,6000,,2.50%,"REWARDS,VELOCITY,BALANCETRANSFER,INTERESTFREE",http://prf.hn/click/camref:1011lAb
NABA-FR,NAB,nab-flybuys-rewards,,,NAB flybuys Rewards Card,Flybuys Rewards,Visa,N/A,N/A,19.99%,0%,15,19.99%,N/A,N/A,N/A,$65,21.74%,1,N/A,"10,000","0% p.a. on balance transfers for 15 months and 10,000 Flybuys BONUS POINTS.","0% p.a. on balance transfers for 15 months and 10,000 Flybuys BONUS POINTS when you make an everyday purchase.",-1 pt = $1 Visa,"-Concierge Service
'-VIP Lost Card Cover, complimentary for the first 12 months",[NAB Credit Card Terms and Conditions](http://www.nab.com.au/content/dam/nab/personal/credit-cards/credit-card-terms-conditions-and-other-information/documents/nab-credit-cards-tcs.pdf),N/A,[NAB Credit Card Terms and Conditions](http://www.nab.com.au/content/dam/nab/personal/credit-cards/credit-card-terms-conditions-and-other-information/documents/nab-credit-cards-tcs.pdf),N/A,[NAB Credit Card Terms and Conditions](http://www.nab.com.au/content/dam/nab/personal/credit-cards/credit-card-terms-conditions-and-other-information/documents/nab-credit-cards-tcs.pdf),Yes,Yes,Yes,No,No,44,5,,6000,,2.50%,"REWARDS,FLYBUYS,BALANCETRANSFER,INTERESTFREE",http://prf.hn/click/camref:1100lyQ
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
