POLICY,,DURATION,,,,AGE GROUP,,PRICING,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
INSURER NAME,POLICY NAME,MINIMUM VALUE,UNIT,MAXIMUM VALUE,UNIT,AGE MINIMUM,AGE MAXIMUM,,REGION 1,,,REGION 2,,,REGION 3,,,REGION 4,,,REGION 5,
,,,,,,,,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY
1Cover,Comprenhensive,1,Days,5,Days,0,59,59,118,118,56,112,112,49,98,98,42.2,84.4,84.4,35.5,71,71
1Cover,Comprenhensive,6,Days,8,Days,0,59,81.3,162.6,162.6,65,130,130,63.9,127.8,127.8,45,90,90,44,88,88
1Cover,Comprenhensive,9,Days,12,Days,0,59,87.7,175.4,175.4,79,158,158,74,148,148,56.3,112.6,112.6,49,98,98
1Cover,Comprenhensive,13,Days,16,Days,0,59,99.8,199.6,199.6,93,186,186,80.8,161.6,161.6,62,124,124,58,116,116
1Cover,Comprenhensive,17,Days,24,Days,0,59,129,258,258,105,210,210,99,198,198,70.8,141.6,141.6,61.1,122.2,122.2
1Cover,Comprenhensive,25,Days,28,Days,0,59,151.9,303.8,303.8,132.5,265,265,114.9,229.8,229.8,83,166,166,64,128,128
1Cover,Comprenhensive,29,Days,34,Days,0,59,179.2,358.4,358.4,149.5,299,299,135.3,270.6,270.6,98,196,196,89,178,178
1Cover,Comprenhensive,35,Days,42,Days,0,59,227,454,454,159.5,319,319,157,314,314,129,258,258,109,218,218
1Cover,Comprenhensive,43,Days,49,Days,0,59,255,510,510,189.95,379.9,379.9,185,370,370,145,290,290,127.1,254.2,254.2
1Cover,Comprenhensive,50,Days,59,Days,0,59,295,590,590,239,478,478,209,418,418,157.4,314.8,314.8,141,282,282
1Cover,Comprenhensive,60,Days,89,Days,0,59,367.5,735,735,295,590,590,279.6,559.2,559.2,219,438,438,,,
1Cover,Comprenhensive,90,Days,119,Days,0,59,449,898,898,349,698,698,335,670,670,258,516,516,,,
1Cover,Comprenhensive,120,Days,149,Days,0,59,519.5,1039,1039,379,758,758,373,746,746,298,596,596,,,
1Cover,Comprenhensive,150,Days,179,Days,0,59,575,1150,1150,439,878,878,437.6,875.2,875.2,337.9,675.8,675.8,,,
1Cover,Comprenhensive,180,Days,209,Days,0,59,630.05,1260.1,1260.1,495,990,990,485,970,970,386.4,772.8,772.8,,,
1Cover,Comprenhensive,210,Days,239,Days,0,59,695,1390,1390,565,1130,1130,558.2,1116.4,1116.4,427.15,854.3,854.3,,,
1Cover,Comprenhensive,240,Days,269,Days,0,59,775,1550,1550,619,1238,1238,595,1190,1190,469,938,938,,,
1Cover,Comprenhensive,270,Days,299,Days,0,59,815,1630,1630,695,1390,1390,647.8,1295.6,1295.6,515,1030,1030,,,
1Cover,Comprenhensive,300,Days,329,Days,0,59,865,1730,1730,739,1478,1478,695,1390,1390,559,1118,1118,,,
1Cover,Comprenhensive,330,Days,366,Days,0,59,895,1790,1790,769,1538,1538,728.2,1456.4,1456.4,591,1182,1182,,,
1Cover,Comprenhensive,1,Days,5,Days,60,69,89,178,178,75,150,150,59,118,118,52,104,104,44.5,89,89
1Cover,Comprenhensive,6,Days,8,Days,60,69,95,190,190,85,170,170,75,150,150,56,112,112,54.8,109.6,109.6
1Cover,Comprenhensive,9,Days,12,Days,60,69,121,242,242,101,202,202,95,190,190,68,136,136,60.8,121.6,121.6
1Cover,Comprenhensive,13,Days,16,Days,60,69,131,262,262,115,230,230,105,210,210,78,156,156,68,136,136
1Cover,Comprenhensive,17,Days,24,Days,60,69,161,322,322,139,278,278,119,238,238,88,176,176,72.2,144.4,144.4
1Cover,Comprenhensive,25,Days,28,Days,60,69,195,390,390,169,338,338,139,278,278,98,196,196,84.9,169.8,169.8
1Cover,Comprenhensive,29,Days,34,Days,60,69,228,456,456,198,396,396,159.2,318.4,318.4,119,238,238,107,214,214
1Cover,Comprenhensive,35,Days,42,Days,60,69,279.4,558.8,558.8,241,482,482,198,396,396,153,306,306,122.6,245.2,245.2
1Cover,Comprenhensive,43,Days,49,Days,60,69,311,622,622,268.9,537.8,537.8,229.95,459.9,459.9,167,334,334,138.5,277,277
1Cover,Comprenhensive,50,Days,59,Days,60,69,345,690,690,298.4,596.8,596.8,255,510,510,186.2,372.4,372.4,153.35,306.7,306.7
1Cover,Comprenhensive,60,Days,89,Days,60,69,459,918,918,364.2,728.4,728.4,328,656,656,259.4,518.8,518.8,,,
1Cover,Comprenhensive,90,Days,119,Days,60,69,555,1110,1110,441,882,882,405,810,810,308.9,617.8,617.8,,,
1Cover,Comprenhensive,120,Days,149,Days,60,69,639,1278,1278,495,990,990,459,918,918,341.2,682.4,682.4,,,
1Cover,Comprenhensive,150,Days,179,Days,60,69,728,1456,1456,575,1150,1150,526,1052,1052,401.3,802.6,802.6,,,
1Cover,Comprenhensive,180,Days,209,Days,60,69,835,1670,1670,668,1336,1336,615,1230,1230,457,914,914,,,
1Cover,Comprenhensive,210,Days,239,Days,60,69,895,1790,1790,734,1468,1468,665,1330,1330,502,1004,1004,,,
1Cover,Comprenhensive,240,Days,269,Days,60,69,955,1910,1910,788,1576,1576,729.2,1458.4,1458.4,567,1134,1134,,,
1Cover,Comprenhensive,270,Days,299,Days,60,69,1020,2040,2040,879,1758,1758,797.1,1594.2,1594.2,611,1222,1222,,,
1Cover,Comprenhensive,300,Days,329,Days,60,69,1105,2210,2210,925,1850,1850,841.6,1683.2,1683.2,661.1,1322.2,1322.2,,,
1Cover,Comprenhensive,330,Days,366,Days,60,69,1165,2330,2330,995,1990,1990,895,1790,1790,692.9,1385.8,1385.8,,,
1Cover,Comprenhensive,1,Days,5,Days,70,74,157.5,315,315,137,274,274,103.8,207.6,207.6,92.6,185.2,185.2,79.9,159.8,159.8
1Cover,Comprenhensive,6,Days,8,Days,70,74,169.2,338.4,338.4,153.3,306.6,306.6,130.7,261.4,261.4,99.9,199.8,199.8,98.2,196.4,196.4
1Cover,Comprenhensive,9,Days,12,Days,70,74,227.5,455,455,180.8,361.6,361.6,155.2,310.4,310.4,116.4,232.8,232.8,108.9,217.8,217.8
1Cover,Comprenhensive,13,Days,16,Days,70,74,227.5,455,455,200.7,401.4,401.4,164.5,329,329,127.2,254.4,254.4,121.8,243.6,243.6
1Cover,Comprenhensive,17,Days,24,Days,70,74,291.2,582.4,582.4,250.8,501.6,501.6,204.2,408.4,408.4,156.3,312.6,312.6,129.3,258.6,258.6
1Cover,Comprenhensive,25,Days,28,Days,70,74,344.2,688.4,688.4,298.6,597.2,597.2,243.8,487.6,487.6,180.8,361.6,361.6,152,304,304
1Cover,Comprenhensive,29,Days,34,Days,70,74,414.2,828.4,828.4,345.2,690.4,690.4,278.8,557.6,557.6,212.3,424.6,424.6,191.7,383.4,383.4
1Cover,Comprenhensive,35,Days,42,Days,70,74,491.9,983.8,983.8,432.8,865.6,865.6,360.6,721.2,721.2,269.5,539,539,219.6,439.2,439.2
1Cover,Comprenhensive,43,Days,49,Days,70,74,543,1086,1086,464.3,928.6,928.6,404.8,809.6,809.6,305.7,611.4,611.4,248,496,496
1Cover,Comprenhensive,50,Days,59,Days,70,74,606.9,1213.8,1213.8,534.5,1069,1069,449.2,898.4,898.4,320.8,641.6,641.6,274.7,549.4,549.4
1Cover,Comprenhensive,60,Days,89,Days,70,74,810.8,1621.6,1621.6,640.5,1281,1281,600.8,1201.6,1201.6,460.8,921.6,921.6,,,
1Cover,Comprenhensive,90,Days,119,Days,70,74,985.8,1971.6,1971.6,786.3,1572.6,1572.6,718.7,1437.4,1437.4,535.5,1071,1071,,,
1Cover,Comprenhensive,120,Days,149,Days,70,74,1115.6,2231.2,2231.2,886.7,1773.4,1773.4,810.8,1621.6,1621.6,640.5,1281,1281,,,
1Cover,Comprenhensive,150,Days,179,Days,70,74,1213.3,2426.6,2426.6,997.5,1995,1995,950.8,1901.6,1901.6,694.2,1388.4,1388.4,,,
1Cover,Comprenhensive,180,Days,209,Days,70,74,1359.9,2719.8,2719.8,1160.8,2321.6,2321.6,1102.5,2205,2205,821.6,1643.2,1643.2,,,
1Cover,Comprenhensive,210,Days,239,Days,70,74,1511,3022,3022,1260,2520,2520,1153.1,2306.2,2306.2,916.3,1832.6,1832.6,,,
1Cover,Comprenhensive,240,Days,269,Days,70,74,1686.8,3373.6,3373.6,1365,2730,2730,1277.5,2555,2555,988.3,1976.6,1976.6,,,
1Cover,Comprenhensive,270,Days,299,Days,70,74,1828.6,3657.2,3657.2,1480.5,2961,2961,1370.8,2741.6,2741.6,1086.8,2173.6,2173.6,,,
1Cover,Comprenhensive,300,Days,329,Days,70,74,1977.5,3955,3955,1580.8,3161.6,3161.6,1468.8,2937.6,2937.6,1160.8,2321.6,2321.6,,,
1Cover,Comprenhensive,330,Days,366,Days,70,74,2088.3,4176.6,4176.6,1697.5,3395,3395,1604.2,3208.4,3208.4,1234.3,2468.6,2468.6,,,
1Cover,Comprenhensive,1,Days,5,Days,75,79,203,406,406,173.8,347.6,347.6,128.3,256.6,256.6,114.3,228.6,228.6,101.4,202.8,202.8
1Cover,Comprenhensive,6,Days,8,Days,75,79,218.8,437.6,437.6,197.2,394.4,394.4,164.5,329,329,127.2,254.4,254.4,124.7,249.4,249.4
1Cover,Comprenhensive,9,Days,12,Days,75,79,289.5,579,579,239.2,478.4,478.4,220.5,441,441,149.3,298.6,298.6,138.3,276.6,276.6
1Cover,Comprenhensive,13,Days,16,Days,75,79,316.2,632.4,632.4,257.8,515.6,515.6,220.5,441,441,163.1,326.2,326.2,154.7,309.4,309.4
1Cover,Comprenhensive,17,Days,24,Days,75,79,369.8,739.6,739.6,313.8,627.6,627.6,269.5,539,539,196,392,392,164.2,328.4,328.4
1Cover,Comprenhensive,25,Days,28,Days,75,79,432.8,865.6,865.6,383.7,767.4,767.4,312.7,625.4,625.4,231,462,462,193.1,386.2,386.2
1Cover,Comprenhensive,29,Days,34,Days,75,79,522.7,1045.4,1045.4,444.5,889,889,372.2,744.4,744.4,275.6,551.2,551.2,243.4,486.8,486.8
