POLICY,,DURATION (DAYS),,,,AGE GROUP,,PRICING (2 DECIMAL PLACES MAXIMUM),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
INSURER NAME,POLICY NAME,MINIMUM VALUE,UNIT,MAXIMUM VALUE,UNIT,AGE MINIMUM,AGE MAXIMUM,,REGION 1,,,REGION 2,,,REGION 3,,,REGION 4,,,REGION 5,
,,,,,,,,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY
1Cover,Comprehensive,1,Days,1,Days,0,59,59.00,118.00,118.00,53.00,106.00,106.00,45.00,90.00,90.00,37.00,74.00,74.00,,,
1Cover,Comprehensive,2,Days,2,Days,0,59,59.00,118.00,118.00,55.00,110.00,110.00,47.00,94.00,94.00,37.00,74.00,74.00,,,
1Cover,Comprehensive,3,Days,3,Days,0,59,59.00,118.00,118.00,56.00,112.00,112.00,48.00,96.00,96.00,39.85,79.70,79.70,,,
1Cover,Comprehensive,4,Days,4,Days,0,59,61.00,122.00,122.00,57.00,114.00,114.00,51.00,102.00,102.00,41.85,83.70,83.70,,,
1Cover,Comprehensive,5,Days,5,Days,0,59,67.00,134.00,134.00,58.00,116.00,116.00,53.00,106.00,106.00,43.00,86.00,86.00,,,
1Cover,Comprehensive,6,Days,6,Days,0,59,77.00,154.00,154.00,62.00,124.00,124.00,61.85,123.70,123.70,44.85,89.70,89.70,,,
1Cover,Comprehensive,7,Days,7,Days,0,59,81.00,162.00,162.00,65.00,130.00,130.00,63.85,127.70,127.70,45.85,91.70,91.70,,,
1Cover,Comprehensive,8,Days,8,Days,0,59,83.00,166.00,166.00,67.00,134.00,134.00,64.85,129.70,129.70,46.85,93.70,93.70,,,
1Cover,Comprehensive,9,Days,9,Days,0,59,86.00,172.00,172.00,72.85,145.70,145.70,67.85,135.70,135.70,47.85,95.70,95.70,,,
1Cover,Comprehensive,10,Days,10,Days,0,59,88.00,176.00,176.00,78.85,157.70,157.70,69.85,139.70,139.70,48.85,97.70,97.70,,,
1Cover,Comprehensive,11,Days,11,Days,0,59,89.85,179.70,179.70,81.00,162.00,162.00,72.85,145.70,145.70,51.85,103.70,103.70,,,
1Cover,Comprehensive,12,Days,12,Days,0,59,93.00,186.00,186.00,83.00,166.00,166.00,74.85,149.70,149.70,52.85,105.70,105.70,,,
1Cover,Comprehensive,13,Days,13,Days,0,59,97.00,194.00,194.00,89.85,179.70,179.70,78.85,157.70,157.70,58.85,117.70,117.70,,,
1Cover,Comprehensive,14,Days,14,Days,0,59,98.85,197.70,197.70,93.00,186.00,186.00,79.85,159.70,159.70,61.85,123.70,123.70,,,
1Cover,Comprehensive,15,Days,15,Days,0,59,99.00,198.00,198.00,95.00,190.00,190.00,80.85,161.70,161.70,62.85,125.70,125.70,,,
