POLICY,,DURATION (DAYS),,,,AGE GROUP,,PRICING (2 DECIMAL PLACES MAXIMUM),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
INSURER NAME,POLICY NAME,MINIMUM VALUE,UNIT,MAXIMUM VALUE,UNIT,AGE MINIMUM,AGE MAXIMUM,,REGION 1,,,REGION 2,,,REGION 3,,,REGION 4,,,REGION 5,
,,,,,,,,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY
1st For Women,Diamond,1,Days,5,Days,16,54,67.15,127.59,134.3,51.85,98.52,103.7,44.2,83.98,88.4,42.5,80.75,85,,,
1st For Women,Diamond,6,Days,7,Days,16,54,71.4,135.66,142.8,58.65,111.44,117.3,51,96.9,102,45.9,87.21,91.8,,,
1st For Women,Diamond,8,Days,14,Days,16,54,92.65,176.04,185.3,70.55,134.05,141.1,64.6,122.74,129.2,59.5,113.05,119,,,
1st For Women,Diamond,15,Days,21,Days,16,54,130.9,248.71,261.8,108.8,206.72,217.6,88.4,167.96,176.8,75.65,143.74,151.3,,,
1st For Women,Diamond,22,Days,28,Days,16,54,159.8,303.62,319.6,127.5,242.25,255,111.35,211.57,222.7,93.5,177.65,187,,,
1st For Women,Diamond,29,Days,35,Days,16,54,186.15,353.69,372.3,136.85,260.02,273.7,123.25,234.18,246.5,100.3,190.57,200.6,,,
1st For Women,Diamond,36,Days,42,Days,16,54,226.95,431.21,453.9,173.4,329.46,346.8,140.25,266.48,280.5,111.35,211.57,222.7,,,
1st For Women,Diamond,43,Days,62,Days,16,54,266.9,507.11,533.8,202.3,384.37,404.6,172.55,327.85,345.1,141.95,269.71,283.9,,,
1st For Women,Diamond,63,Days,92,Days,16,54,363.8,691.22,727.6,279.65,531.34,559.3,247.35,469.97,494.7,193.8,368.22,387.6,,,
1st For Women,Diamond,93,Days,123,Days,16,54,432.65,822.04,865.3,334.9,636.31,669.8,296.65,563.64,593.3,226.1,429.59,452.2,,,
1st For Women,Diamond,124,Days,153,Days,16,54,493,936.7,986,354.45,673.46,708.9,326.4,620.16,652.8,253.3,481.27,506.6,,,
1st For Women,Diamond,154,Days,184,Days,16,54,544.85,1035.22,1089.7,403.75,767.13,807.5,353.6,671.84,707.2,276.25,524.88,552.5,,,
1st For Women,Diamond,185,Days,215,Days,16,54,612,1162.8,1224,430.1,817.19,860.2,389.3,739.67,778.6,305.15,579.79,610.3,,,
1st For Women,Diamond,216,Days,245,Days,16,54,663.85,1261.32,1327.7,497.25,944.78,994.5,454.75,864.03,909.5,346.8,658.92,693.6,,,
1st For Women,Diamond,246,Days,276,Days,16,54,753.1,1430.89,1506.2,574.6,1091.74,1149.2,520.2,988.38,1040.4,416.5,791.35,833,,,
1st For Women,Diamond,277,Days,306,Days,16,54,802.4,1524.56,1604.8,619.65,1177.34,1239.3,532.95,1012.61,1065.9,453.05,860.8,906.1,,,
1st For Women,Diamond,307,Days,337,Days,16,54,870.4,1653.76,1740.8,651.1,1237.09,1302.2,587.35,1115.97,1174.7,465.8,885.02,931.6,,,
1st For Women,Diamond,338,Days,366,Days,16,54,917.15,1742.59,1834.3,686.8,1304.92,1373.6,621.35,1180.57,1242.7,516.8,981.92,1033.6,,,
1st For Women,Diamond,1,Days,5,Days,55,64,70.51,134.3,141.02,54.44,103.7,108.89,46.41,88.4,92.82,44.63,85,89.25,,,
1st For Women,Diamond,6,Days,7,Days,55,64,74.97,142.8,149.94,61.58,117.3,123.17,53.55,102,107.1,48.2,91.8,96.39,,,
1st For Women,Diamond,8,Days,14,Days,55,64,97.28,185.3,194.57,74.08,141.1,148.16,67.83,129.2,135.66,62.48,119,124.95,,,
1st For Women,Diamond,15,Days,21,Days,55,64,137.45,261.8,274.89,114.24,217.6,228.48,92.82,176.8,185.64,79.43,151.3,158.87,,,
1st For Women,Diamond,22,Days,28,Days,55,64,167.79,319.6,335.58,133.88,255,267.75,116.92,222.7,233.84,98.18,187,196.35,,,
1st For Women,Diamond,29,Days,35,Days,55,64,195.46,372.3,390.92,143.69,273.7,287.39,129.41,246.5,258.83,105.32,200.6,210.63,,,
1st For Women,Diamond,36,Days,42,Days,55,64,238.3,453.9,476.6,182.07,346.8,364.14,147.26,280.5,294.53,116.92,222.7,233.84,,,
1st For Women,Diamond,43,Days,62,Days,55,64,280.25,533.8,560.49,212.42,404.6,424.83,181.18,345.1,362.36,149.05,283.9,298.1,,,
1st For Women,Diamond,63,Days,92,Days,55,64,381.99,727.6,763.98,293.63,559.3,587.27,259.72,494.7,519.44,203.49,387.6,406.98,,,
1st For Women,Diamond,93,Days,123,Days,55,64,454.28,865.3,908.57,351.65,669.8,703.29,311.48,593.3,622.97,237.41,452.2,474.81,,,
1st For Women,Diamond,124,Days,153,Days,55,64,517.65,986,1035.3,372.17,708.9,744.35,342.72,652.8,685.44,265.97,506.6,531.93,,,
1st For Women,Diamond,154,Days,184,Days,55,64,572.09,1089.7,1144.19,423.94,807.5,847.88,371.28,707.2,742.56,290.06,552.5,580.13,,,
1st For Women,Diamond,185,Days,215,Days,55,64,642.6,1224,1285.2,451.61,860.2,903.21,408.77,778.6,817.53,320.41,610.3,640.82,,,
1st For Women,Diamond,216,Days,245,Days,55,64,697.04,1327.7,1394.09,522.11,994.5,1044.23,477.49,909.5,954.98,364.14,693.6,728.28,,,
1st For Women,Diamond,246,Days,276,Days,55,64,790.76,1506.2,1581.51,603.33,1149.2,1206.66,546.21,1040.4,1092.42,437.33,833,874.65,,,
1st For Women,Diamond,277,Days,306,Days,55,64,842.52,1604.8,1685.04,650.63,1239.3,1301.27,559.6,1065.9,1119.2,475.7,906.1,951.41,,,
