POLICY,,DURATION (DAYS),,,,AGE GROUP,,PRICING (2 DECIMAL PLACES MAXIMUM),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
INSURER NAME,POLICY NAME,MINIMUM VALUE,UNIT,MAXIMUM VALUE,UNIT,AGE MINIMUM,AGE MAXIMUM,,REGION 1,,,REGION 2,,,REGION 3,,,REGION 4,,,REGION 5,
,,,,,,,,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY
Fast Cover,Comprehensive,1,Days,5,Days,16,59,66.8,126.9,133.6,60.2,114.4,120.4,53.5,101.7,107,45.5,86.5,91,,,
Fast Cover,Comprehensive,6,Days,8,Days,16,59,71.1,135.1,142.2,64.1,121.8,128.2,56.9,108.1,113.8,48.5,92.2,97,,,
Fast Cover,Comprehensive,9,Days,12,Days,16,59,87.2,165.7,174.4,78.5,149.2,157,69.7,132.4,139.4,59.3,112.7,118.6,,,
Fast Cover,Comprehensive,13,Days,15,Days,16,59,92.3,175.4,184.6,83.1,157.9,166.2,73.8,140.2,147.6,62.7,119.1,125.4,,,
Fast Cover,Comprehensive,16,Days,18,Days,16,59,101.7,193.2,203.4,91.5,173.9,183,81.3,154.5,162.6,69.2,131.5,138.4,,,
Fast Cover,Comprehensive,19,Days,21,Days,16,59,129.2,245.5,258.4,116.4,221.2,232.8,103.4,196.5,206.8,88,167.2,176,,,
Fast Cover,Comprehensive,22,Days,24,Days,16,59,136.6,259.5,273.2,123,233.7,246,109.3,207.7,218.6,93.1,176.9,186.2,,,
Fast Cover,Comprehensive,25,Days,28,Days,16,59,162.7,309.1,325.4,144.1,273.8,288.2,130.1,247.2,260.2,110.8,210.5,221.6,,,
Fast Cover,Comprehensive,29,Days,32,Days,16,59,180.2,342.4,360.4,159.7,303.4,319.4,144.2,274,288.4,122.7,233.1,245.4,,,
Fast Cover,Comprehensive,33,Days,35,Days,16,59,195.4,371.3,390.8,173.1,328.9,346.2,156.3,297,312.6,133,252.7,266,,,
Fast Cover,Comprehensive,36,Days,40,Days,16,59,204,387.6,408,180.8,343.5,361.6,163.3,310.3,326.6,138.8,263.7,277.6,,,
Fast Cover,Comprehensive,41,Days,45,Days,16,59,233.9,444.4,467.8,207.2,393.7,414.4,187.1,355.5,374.2,159.2,302.5,318.4,,,
Fast Cover,Comprehensive,46,Days,54,Days,16,59,248.2,471.6,496.4,219.8,417.6,439.6,198.5,377.2,397,168.9,320.9,337.8,,,
Fast Cover,Comprehensive,55,Days,62,Days,16,59,273.8,520.2,547.6,242.5,460.8,485,219,416.1,438,186.4,354.2,372.8,,,
Fast Cover,Comprehensive,63,Days,92,Days,16,59,364,691.6,728,322.4,612.6,644.8,291.2,553.3,582.4,247.7,470.6,495.4,,,
Fast Cover,Comprehensive,93,Days,123,Days,16,59,419.2,796.5,838.4,371.3,705.5,742.6,335.2,636.9,670.4,281.5,534.9,563,,,
Fast Cover,Comprehensive,124,Days,153,Days,16,59,480.9,913.7,961.8,425.9,809.2,851.8,384.8,731.1,769.6,323,613.7,646,,,
Fast Cover,Comprehensive,154,Days,184,Days,16,59,555.7,1055.8,1111.4,492.2,935.2,984.4,444.5,844.6,889,373.3,709.3,746.6,,,
Fast Cover,Comprehensive,185,Days,215,Days,16,59,608.7,1156.5,1217.4,539.1,1024.3,1078.2,487,925.3,974,408.8,776.7,817.6,,,
