POLICY,,DURATION (DAYS),,,,AGE GROUP,,PRICING (2 DECIMAL PLACES MAXIMUM),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
INSURER NAME,POLICY NAME,MINIMUM VALUE,UNIT,MAXIMUM VALUE,UNIT,AGE MINIMUM,AGE MAXIMUM,,Region 1,,,Region 2,,,Region 3,,,Region 4,,,Region 5,
,,,,,,,,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY
Insureandgo,Bare Essentials,1,Days,5,Days,18,49,53.86,96.94,96.94,46,82.79,82.79,38.6,69.48,69.48,26.37,47.46,47.46,,,
Insureandgo,Bare Essentials,6,Days,8,Days,18,49,50.3,90.53,90.53,48.3,86.93,86.93,40.53,72.96,72.96,27.69,49.83,49.83,,,
Insureandgo,Bare Essentials,9,Days,13,Days,18,49,50.7,91.26,91.26,50.71,91.28,91.28,42.56,76.6,76.6,34.05,61.28,61.28,,,
Insureandgo,Bare Essentials,14,Days,17,Days,18,49,62.62,112.72,112.72,53.48,96.27,96.27,44.88,80.79,80.79,35.91,64.63,64.63,,,
Insureandgo,Bare Essentials,18,Days,21,Days,18,49,65.75,118.36,118.36,56.16,101.08,101.08,47.13,84.83,84.83,37.7,67.87,67.87,,,
Insureandgo,Bare Essentials,22,Days,24,Days,18,49,82.66,148.79,148.79,70.6,127.08,127.08,59.25,106.65,106.65,47.4,85.32,85.32,,,
Insureandgo,Bare Essentials,25,Days,28,Days,18,49,86.79,156.23,156.23,74.13,133.43,133.43,62.21,111.98,111.98,49.77,89.58,89.58,,,
Insureandgo,Bare Essentials,29,Days,32,Days,18,49,102.7,184.86,184.86,87.71,157.88,157.88,73.61,132.5,132.5,58.89,106,106,,,
Insureandgo,Bare Essentials,33,Days,35,Days,18,49,112.74,202.93,202.93,96.28,173.31,173.31,80.8,145.45,145.45,64.64,116.36,116.36,,,
Insureandgo,Bare Essentials,36,Days,42,Days,18,49,128.32,230.97,230.97,109.59,197.27,197.27,91.97,165.55,165.55,73.58,132.44,132.44,,,
Insureandgo,Bare Essentials,43,Days,49,Days,18,49,144.03,259.26,259.26,123.01,221.42,221.42,103.23,185.82,185.82,82.59,148.66,148.66,,,
Insureandgo,Bare Essentials,50,Days,56,Days,18,49,157.13,282.83,282.83,134.19,241.55,241.55,112.62,202.71,202.71,90.1,162.17,162.17,,,
Insureandgo,Bare Essentials,57,Days,63,Days,18,49,167.6,301.68,301.68,143.14,257.65,257.65,120.13,216.23,216.23,96.1,172.98,172.98,,,
Insureandgo,Bare Essentials,64,Days,70,Days,18,49,175.98,316.76,316.76,150.3,270.54,270.54,126.13,227.04,227.04,100.91,181.63,181.63,,,
Insureandgo,Bare Essentials,71,Days,90,Days,18,49,184.78,332.6,332.6,157.81,284.06,284.06,132.44,238.39,238.39,105.95,190.71,190.71,,,
Insureandgo,Bare Essentials,91,Days,120,Days,18,49,270.49,486.89,486.89,231.02,415.83,415.83,193.87,348.97,348.97,155.1,279.18,279.18,,,
Insureandgo,Bare Essentials,121,Days,150,Days,18,49,309.91,557.84,557.84,264.68,476.43,476.43,222.13,399.83,399.83,177.7,319.86,319.86,,,
Insureandgo,Bare Essentials,151,Days,180,Days,18,49,360.2,648.37,648.37,307.63,553.74,553.74,258.18,464.72,464.72,206.54,371.77,371.77,,,
Insureandgo,Bare Essentials,181,Days,210,Days,18,49,405.06,729.11,729.11,345.94,622.7,622.7,290.33,522.59,522.59,232.26,418.07,418.07,,,
Insureandgo,Bare Essentials,211,Days,240,Days,18,49,466.23,839.21,839.21,398.18,716.73,716.73,334.17,601.5,601.5,267.33,481.2,481.2,,,
Insureandgo,Bare Essentials,241,Days,270,Days,18,49,515.16,927.29,927.29,439.98,791.96,791.96,369.24,664.63,664.63,295.39,531.7,531.7,,,
Insureandgo,Bare Essentials,271,Days,300,Days,18,49,564.09,1015.37,1015.37,481.77,867.18,867.18,404.31,727.76,727.76,323.45,582.21,582.21,,,
Insureandgo,Bare Essentials,301,Days,330,Days,18,49,611.67,1101,1101,522.4,940.32,940.32,438.41,789.14,789.14,350.73,631.31,631.31,,,
Insureandgo,Bare Essentials,331,Days,366,Days,18,49,661.96,1191.53,1191.53,565.35,1017.63,1017.63,474.46,854.02,854.02,379.57,683.22,683.22,,,
Insureandgo,Bare Essentials,1,Days,5,Days,50,59,55.01,99.02,99.02,46.98,84.57,84.57,39.43,70.98,70.98,26.94,48.49,48.49,,,
Insureandgo,Bare Essentials,6,Days,8,Days,50,59,51.38,92.48,92.48,49.33,88.8,88.8,41.4,74.52,74.52,28.29,50.92,50.92,,,
Insureandgo,Bare Essentials,9,Days,13,Days,50,59,51.79,93.22,93.22,51.8,93.24,93.24,43.47,78.25,78.25,34.78,62.6,62.6,,,
Insureandgo,Bare Essentials,14,Days,17,Days,50,59,63.97,115.14,115.14,54.63,98.34,98.34,45.85,82.53,82.53,36.68,66.02,66.02,,,
Insureandgo,Bare Essentials,18,Days,21,Days,50,59,67.17,120.9,120.9,57.36,103.26,103.26,48.14,86.66,86.66,38.51,69.32,69.32,,,
Insureandgo,Bare Essentials,22,Days,24,Days,50,59,84.44,151.99,151.99,72.12,129.81,129.81,60.52,108.94,108.94,48.42,87.15,87.15,,,
Insureandgo,Bare Essentials,25,Days,28,Days,50,59,88.66,159.59,159.59,75.72,136.3,136.3,63.55,114.39,114.39,50.84,91.51,91.51,,,
Insureandgo,Bare Essentials,29,Days,32,Days,50,59,104.91,188.84,188.84,89.6,161.28,161.28,75.19,135.35,135.35,60.15,108.28,108.28,,,
Insureandgo,Bare Essentials,33,Days,35,Days,50,59,115.16,207.29,207.29,98.35,177.04,177.04,82.54,148.58,148.58,66.03,118.86,118.86,,,
Insureandgo,Bare Essentials,36,Days,42,Days,50,59,131.08,235.94,235.94,111.95,201.51,201.51,93.95,169.11,169.11,75.16,135.29,135.29,,,
Insureandgo,Bare Essentials,43,Days,49,Days,50,59,147.13,264.83,264.83,125.66,226.18,226.18,105.45,189.82,189.82,84.36,151.85,151.85,,,
Insureandgo,Bare Essentials,50,Days,56,Days,50,59,160.5,288.91,288.91,137.08,246.74,246.74,115.04,207.07,207.07,92.03,165.66,165.66,,,
Insureandgo,Bare Essentials,57,Days,63,Days,50,59,171.2,308.17,308.17,146.22,263.19,263.19,122.71,220.88,220.88,98.17,176.7,176.7,,,
Insureandgo,Bare Essentials,64,Days,70,Days,50,59,179.76,323.58,323.58,153.53,276.35,276.35,128.85,231.92,231.92,103.08,185.54,185.54,,,
Insureandgo,Bare Essentials,71,Days,90,Days,50,59,188.75,339.76,339.76,161.21,290.17,290.17,135.29,243.52,243.52,108.23,194.82,194.82,,,
Insureandgo,Bare Essentials,91,Days,120,Days,50,59,276.31,497.36,497.36,235.98,424.77,424.77,198.04,356.48,356.48,158.44,285.18,285.18,,,
Insureandgo,Bare Essentials,121,Days,150,Days,50,59,316.58,569.84,569.84,270.37,486.67,486.67,226.9,408.43,408.43,181.52,326.74,326.74,,,
Insureandgo,Bare Essentials,151,Days,180,Days,50,59,367.95,662.31,662.31,314.25,565.65,565.65,263.73,474.71,474.71,210.98,379.77,379.77,,,
Insureandgo,Bare Essentials,181,Days,210,Days,50,59,413.77,744.79,744.79,353.38,636.09,636.09,296.57,533.82,533.82,237.25,427.06,427.06,,,
Insureandgo,Bare Essentials,211,Days,240,Days,50,59,476.25,857.25,857.25,406.75,732.14,732.14,341.35,614.43,614.43,273.08,491.55,491.55,,,
Insureandgo,Bare Essentials,241,Days,270,Days,50,59,526.24,947.23,947.23,449.44,808.99,808.99,377.18,678.92,678.92,301.74,543.14,543.14,,,
Insureandgo,Bare Essentials,271,Days,300,Days,50,59,576.22,1037.2,1037.2,492.13,885.83,885.83,413.01,743.41,743.41,330.41,594.73,594.73,,,
