CtM,provide_id,provider_name,provider_short_name,,,,
provider,295,Insureandgo,Insureandgo,,,,
products_headings,Product ID,ProductName,Is active?,Add?,Rename?,Include In Import?,
product,70,Bare Essentials,1,0,0,1,
product,71,Silver,1,0,0,1,
product,72,Gold,1,0,0,1,
product,79,Domestic ,1,0,0,1,
product,167,Bare Essentials (Snow Sports included),1,0,0,1,
product,168,Silver (Snow Sports included),1,0,0,1,
product,169,Gold (Snow Sports included),1,0,0,1,
product,170,Domestic (Snow Sports included),1,0,0,1,
product,207,Bare Essentials ($200 Excess),1,1,0,1,
product,208,Silver ($200 Excess),1,1,0,1,
product,209,Gold ($200 Excess),1,1,0,1,
product,210,Domestic ($200 Excess),1,1,0,1,
properties_headings,ProductId,PropertyId,Value,Text,benefitOrder,,Label Reference
product_properties,207,cxdfee,0,$0,0,,
product_properties,207,emergencyExp,5000,"$5,000",0,,
product_properties,207,excess,200,$200,0,,
product_properties,207,infoDes,0,"Since 2000, InsureandGo have been dedicated to providing travel insurance that is both comprehensive and cheap. With a travel insurance policy from InsureandGo, you can be rest-assured that you're covered without having to break the bank. Whether you're ...",0,,
product_properties,207,liability,1500000,"$1,500,000",0,,
product_properties,207,luggage,2000,"$2,000",0,,
product_properties,207,medical,999999999,Unlimited,0,,
product_properties,207,multiTrip,0,N,0,,
product_properties,207,subTitle,0,pds/travel/travel_PDS_INGO_Single.pdf,0,,
product_properties,208,accident,37500,"$37,500",0,,
product_properties,208,cxdfee,15000,"$15,000",0,,
product_properties,208,emergencyExp,15000,"$15,000",0,,
product_properties,208,excess,200,$200,0,,
product_properties,208,hospitalcas,2500,"$2,500",0,,
product_properties,208,income,5200,"$5,200",0,,
product_properties,208,infoDes,0,"Since 2000, InsureandGo have been dedicated to providing travel insurance that is both comprehensive and cheap. With a travel insurance policy from InsureandGo, you can be rest-assured that you're covered without having to break the bank. Whether you're ...",0,,
product_properties,208,liability,2500000,"$2,500,000",0,,
product_properties,208,luggage,6000,"$6,000",0,,
product_properties,208,medical,999999999,Unlimited,0,,
product_properties,208,multiTrip,0,N,0,,
product_properties,208,rentalVeh,4000,"$4,000",0,,
product_properties,208,subTitle,0,pds/travel/travel_PDS_INGO_Single.pdf,0,,
product_properties,208,travelDelay,1000,"$1,000",0,,
product_properties,209,accident,50000,"$50,000",0,,
product_properties,209,cxdfee,999999999,Unlimited,0,,
product_properties,209,emergencyExp,50000,"$50,000",0,,
product_properties,209,excess,200,$200,0,,
product_properties,209,hospitalcas,5000,"$5,000",0,,
product_properties,209,income,10400,"$10,400",0,,
product_properties,209,infoDes,0,"Since 2000, InsureandGo have been dedicated to providing travel insurance that is both comprehensive and cheap. With a travel insurance policy from InsureandGo, you can be rest-assured that you're covered without having to break the bank. Whether you're ...",0,,
product_properties,209,liability,5000000,"$5,000,000",0,,
product_properties,209,luggage,8000,"$8,000",0,,
product_properties,209,medical,999999999,Unlimited,0,,
product_properties,209,multiTrip,0,N,0,,
product_properties,209,rentalVeh,4000,"$4,000",0,,
product_properties,209,subTitle,0,pds/travel/travel_PDS_INGO_Single.pdf,0,,
product_properties,209,travelDelay,2000,"$2,000",0,,
product_properties,210,cxdfee,10000,"$10,000",0,,
product_properties,210,emergencyExp,5000,"$5,000",0,,
product_properties,210,excess,200,$200,0,,
product_properties,210,infoDes,0,"Since 2000, InsureandGo have been dedicated to providing travel insurance that is both comprehensive and cheap. With a travel insurance policy from InsureandGo, you can be rest-assured that you're covered without having to break the bank. Whether you're ...",0,,
product_properties,210,liability,1500000,"$1,500,000",0,,
product_properties,210,luggage,2000,"$2,000",0,,
product_properties,210,medical,999999999,Unlimited,0,,
product_properties,210,multiTrip,0,N,0,,
product_properties,210,subTitle,0,pds/travel/travel_PDS_INGO_Domestic.pdf,0,,
