POLICY,,DURATION (DAYS),,,,AGE GROUP,,PRICING (2 DECIMAL PLACES MAXIMUM),,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
INSURER NAME,POLICY NAME,MINIMUM VALUE,UNIT,MAXIMUM VALUE,UNIT,AGE MINIMUM,AGE MAXIMUM,,REGION 1,,,REGION 2,,,REGION 3,,,REGION 4,
,,,,,,,,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY
Kango-Cover,Big Red,1,Days,4,Days,0,59,65.00,123.50,123.50,53.00,100.70,100.70,51.00,96.90,96.90,37.00,70.30,70.30
Kango-Cover,Big Red,5,Days,8,Days,0,59,96.00,182.40,182.40,75.00,142.50,142.50,72.00,136.80,136.80,51.00,96.90,96.90
Kango-Cover,Big Red,9,Days,12,Days,0,59,111.00,210.90,210.90,87.00,165.30,165.30,85.00,161.50,161.50,59.00,112.10,112.10
Kango-Cover,Big Red,13,Days,17,Days,0,59,131.00,248.90,248.90,96.00,182.40,182.40,94.00,178.60,178.60,68.00,129.20,129.20
Kango-Cover,Big Red,18,Days,24,Days,0,59,155.00,294.50,294.50,119.00,226.10,226.10,115.00,218.50,218.50,89.00,169.10,169.10
Kango-Cover,Big Red,25,Days,31,Days,0,59,197.00,374.30,374.30,151.00,286.90,286.90,145.00,275.50,275.50,103.00,195.70,195.70
Kango-Cover,Big Red,32,Days,35,Days,0,59,225.00,427.50,427.50,167.00,317.30,317.30,160.00,304.00,304.00,121.00,229.90,229.90
Kango-Cover,Big Red,36,Days,45,Days,0,59,273.00,518.70,518.70,197.00,374.30,374.30,190.00,361.00,361.00,142.00,269.80,269.80
Kango-Cover,Big Red,46,Days,62,Days,0,59,337.00,640.30,640.30,243.00,461.70,461.70,236.00,448.40,448.40,179.00,340.10,340.10
Kango-Cover,Big Red,63,Days,92,Days,0,59,449.00,853.10,853.10,303.00,575.70,575.70,299.00,568.10,568.10,249.00,473.10,473.10
Kango-Cover,Big Red,93,Days,123,Days,0,59,525.00,997.50,997.50,359.00,682.10,682.10,349.00,663.10,663.10,289.00,549.10,549.10
Kango-Cover,Big Red,124,Days,153,Days,0,59,605.00,1149.50,1149.50,419.00,796.10,796.10,409.00,777.10,777.10,327.00,621.30,621.30
Kango-Cover,Big Red,154,Days,185,Days,0,59,715.00,1358.50,1358.50,485.00,921.50,921.50,467.00,887.30,887.30,373.00,708.70,708.70
Kango-Cover,Big Red,186,Days,216,Days,0,59,809.00,1537.10,1537.10,555.00,1054.50,1054.50,545.00,1035.50,1035.50,429.00,815.10,815.10
Kango-Cover,Big Red,217,Days,245,Days,0,59,887.00,1685.30,1685.30,615.00,1168.50,1168.50,595.00,1130.50,1130.50,484.00,919.60,919.60
Kango-Cover,Big Red,246,Days,276,Days,0,59,975.00,1852.50,1852.50,679.00,1290.10,1290.10,650.00,1235.00,1235.00,545.00,1035.50,1035.50
Kango-Cover,Big Red,277,Days,306,Days,0,59,1045.00,1985.50,1985.50,727.00,1381.30,1381.30,705.00,1339.50,1339.50,599.00,1138.10,1138.10
Kango-Cover,Big Red,307,Days,337,Days,0,59,1133.00,2152.70,2152.70,771.00,1464.90,1464.90,755.00,1434.50,1434.50,659.00,1252.10,1252.10
Kango-Cover,Big Red,338,Days,366,Days,0,59,1195.00,2270.50,2270.50,799.00,1518.10,1518.10,795.00,1510.50,1510.50,712.00,1352.80,1352.80
Kango-Cover,Big Red,1,Days,4,Days,60,69,77.00,146.30,146.30,61.00,115.90,115.90,59.00,112.10,112.10,45.00,85.50,85.50
Kango-Cover,Big Red,5,Days,8,Days,60,69,117.00,222.30,222.30,88.00,167.20,167.20,85.00,161.50,161.50,61.00,115.90,115.90
Kango-Cover,Big Red,9,Days,12,Days,60,69,133.00,252.70,252.70,102.00,193.80,193.80,99.00,188.10,188.10,69.00,131.10,131.10
Kango-Cover,Big Red,13,Days,17,Days,60,69,161.00,305.90,305.90,113.00,214.70,214.70,109.00,207.10,207.10,79.00,150.10,150.10
Kango-Cover,Big Red,18,Days,24,Days,60,69,191.00,362.90,362.90,140.00,266.00,266.00,136.00,258.40,258.40,102.00,193.80,193.80
Kango-Cover,Big Red,25,Days,31,Days,60,69,243.00,461.70,461.70,179.00,340.10,340.10,173.00,328.70,328.70,118.00,224.20,224.20
Kango-Cover,Big Red,32,Days,35,Days,60,69,278.00,528.20,528.20,197.00,374.30,374.30,192.00,364.80,364.80,139.00,264.10,264.10
Kango-Cover,Big Red,36,Days,45,Days,60,69,341.00,647.90,647.90,235.00,446.50,446.50,227.00,431.30,431.30,165.00,313.50,313.50
