POLICY,,DURATION,,,,AGE GROUP,,PRICING,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
INSURER NAME,POLICY NAME,MINIMUM VALUE,UNIT,MAXIMUM VALUE,UNIT,AGE MINIMUM,AGE MAXIMUM,,REGION 1,,,REGION 2,,,REGION 3,,,REGION 4,
,,,,,,,,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY
Travel Insuranz,Classic,1,Days,1,Days,18,55,23.95,44.31,47.90,27.95,51.71,55.90,29.45,54.49,58.90,33.95,62.81,67.90
Travel Insuranz,Classic,2,Days,2,Days,18,55,23.95,44.31,47.90,27.95,51.71,55.90,29.45,54.49,58.90,33.95,62.81,67.90
Travel Insuranz,Classic,3,Days,3,Days,18,55,23.95,44.31,47.90,27.95,51.71,55.90,29.45,54.49,58.90,33.95,62.81,67.90
Travel Insuranz,Classic,4,Days,4,Days,18,55,23.95,44.31,47.90,27.95,51.71,55.90,29.45,54.49,58.90,33.95,62.81,67.90
Travel Insuranz,Classic,5,Days,5,Days,18,55,23.95,44.31,47.90,27.95,51.71,55.90,29.45,54.49,58.90,33.95,62.81,67.90
Travel Insuranz,Classic,6,Days,6,Days,18,55,25.95,48.01,51.90,35.95,66.51,71.90,37.85,70.03,75.70,44.95,83.16,89.90
Travel Insuranz,Classic,7,Days,7,Days,18,55,25.95,48.01,51.90,35.95,66.51,71.90,37.85,70.03,75.70,44.95,83.16,89.90
Travel Insuranz,Classic,8,Days,8,Days,18,55,25.95,48.01,51.90,35.95,66.51,71.90,37.85,70.03,75.70,44.95,83.16,89.90
Travel Insuranz,Classic,9,Days,9,Days,18,55,35.95,66.51,71.90,47.95,88.71,95.90,50.95,94.26,101.90,62.95,116.46,125.90
Travel Insuranz,Classic,10,Days,10,Days,18,55,35.95,66.51,71.90,47.95,88.71,95.90,50.95,94.26,101.90,62.95,116.46,125.90
Travel Insuranz,Classic,11,Days,11,Days,18,55,35.95,66.51,71.90,47.95,88.71,95.90,50.95,94.26,101.90,62.95,116.46,125.90
Travel Insuranz,Classic,12,Days,12,Days,18,55,35.95,66.51,71.90,47.95,88.71,95.90,50.95,94.26,101.90,62.95,116.46,125.90
Travel Insuranz,Classic,13,Days,13,Days,18,55,35.95,66.51,71.90,47.95,88.71,95.90,50.95,94.26,101.90,62.95,116.46,125.90
Travel Insuranz,Classic,14,Days,14,Days,18,55,35.95,66.51,71.90,47.95,88.71,95.90,50.95,94.26,101.90,62.95,116.46,125.90
Travel Insuranz,Classic,15,Days,15,Days,18,55,35.95,66.51,71.90,47.95,88.71,95.90,50.95,94.26,101.90,62.95,116.46,125.90
Travel Insuranz,Classic,16,Days,16,Days,18,55,40.95,75.76,81.90,54.95,101.66,109.90,59.95,110.91,119.90,75.95,140.52,151.90
Travel Insuranz,Classic,17,Days,17,Days,18,55,40.95,75.76,81.90,54.95,101.66,109.90,59.95,110.91,119.90,75.95,140.52,151.90
Travel Insuranz,Classic,18,Days,18,Days,18,55,40.95,75.76,81.90,54.95,101.66,109.90,59.95,110.91,119.90,75.95,140.52,151.90
Travel Insuranz,Classic,19,Days,19,Days,18,55,40.95,75.76,81.90,54.95,101.66,109.90,59.95,110.91,119.90,75.95,140.52,151.90
Travel Insuranz,Classic,20,Days,20,Days,18,55,40.95,75.76,81.90,54.95,101.66,109.90,59.95,110.91,119.90,75.95,140.52,151.90
Travel Insuranz,Classic,21,Days,21,Days,18,55,40.95,75.76,81.90,54.95,101.66,109.90,59.95,110.91,119.90,75.95,140.52,151.90
Travel Insuranz,Classic,22,Days,22,Days,18,55,40.95,75.76,81.90,54.95,101.66,109.90,59.95,110.91,119.90,75.95,140.52,151.90
Travel Insuranz,Classic,23,Days,23,Days,18,55,44.95,83.16,89.90,66.95,123.86,133.90,71.95,133.11,143.90,89.95,166.42,179.90
Travel Insuranz,Classic,24,Days,24,Days,18,55,44.95,83.16,89.90,66.95,123.86,133.90,71.95,133.11,143.90,89.95,166.42,179.90
Travel Insuranz,Classic,25,Days,25,Days,18,55,44.95,83.16,89.90,66.95,123.86,133.90,71.95,133.11,143.90,89.95,166.42,179.90
Travel Insuranz,Classic,26,Days,26,Days,18,55,44.95,83.16,89.90,66.95,123.86,133.90,71.95,133.11,143.90,89.95,166.42,179.90
Travel Insuranz,Classic,27,Days,27,Days,18,55,44.95,83.16,89.90,66.95,123.86,133.90,71.95,133.11,143.90,89.95,166.42,179.90
Travel Insuranz,Classic,28,Days,28,Days,18,55,44.95,83.16,89.90,66.95,123.86,133.90,71.95,133.11,143.90,89.95,166.42,179.90
Travel Insuranz,Classic,29,Days,29,Days,18,55,44.95,83.16,89.90,66.95,123.86,133.90,71.95,133.11,143.90,89.95,166.42,179.90
Travel Insuranz,Classic,30,Days,30,Days,18,55,60.95,112.76,121.90,81.95,151.62,163.90,87.95,162.72,175.90,107.95,199.72,215.90
Travel Insuranz,Classic,31,Days,31,Days,18,55,60.95,112.76,121.90,81.95,151.62,163.90,87.95,162.72,175.90,107.95,199.72,215.90
Travel Insuranz,Classic,32,Days,32,Days,18,55,60.95,112.76,121.90,81.95,151.62,163.90,87.95,162.72,175.90,107.95,199.72,215.90
Travel Insuranz,Classic,33,Days,33,Days,18,55,60.95,112.76,121.90,81.95,151.62,163.90,87.95,162.72,175.90,107.95,199.72,215.90
Travel Insuranz,Classic,34,Days,34,Days,18,55,60.95,112.76,121.90,81.95,151.62,163.90,87.95,162.72,175.90,107.95,199.72,215.90
Travel Insuranz,Classic,35,Days,35,Days,18,55,60.95,112.76,121.90,81.95,151.62,163.90,87.95,162.72,175.90,107.95,199.72,215.90
Travel Insuranz,Classic,36,Days,36,Days,18,55,60.95,112.76,121.90,81.95,151.62,163.90,87.95,162.72,175.90,107.95,199.72,215.90
Travel Insuranz,Classic,37,Days,37,Days,18,55,72.95,134.96,145.90,98.95,183.07,197.90,105.95,196.02,211.90,125.95,233.02,251.90
Travel Insuranz,Classic,38,Days,38,Days,18,55,72.95,134.96,145.90,98.95,183.07,197.90,105.95,196.02,211.90,125.95,233.02,251.90
Travel Insuranz,Classic,39,Days,39,Days,18,55,72.95,134.96,145.90,98.95,183.07,197.90,105.95,196.02,211.90,125.95,233.02,251.90
Travel Insuranz,Classic,40,Days,40,Days,18,55,72.95,134.96,145.90,98.95,183.07,197.90,105.95,196.02,211.90,125.95,233.02,251.90
Travel Insuranz,Classic,41,Days,41,Days,18,55,72.95,134.96,145.90,98.95,183.07,197.90,105.95,196.02,211.90,125.95,233.02,251.90
Travel Insuranz,Classic,42,Days,42,Days,18,55,72.95,134.96,145.90,98.95,183.07,197.90,105.95,196.02,211.90,125.95,233.02,251.90
Travel Insuranz,Classic,43,Days,43,Days,18,55,72.95,134.96,145.90,98.95,183.07,197.90,105.95,196.02,211.90,125.95,233.02,251.90
Travel Insuranz,Classic,44,Days,44,Days,18,55,82.95,153.47,165.90,114.95,212.67,229.90,123.95,229.32,247.90,144.95,268.17,289.90
Travel Insuranz,Classic,45,Days,45,Days,18,55,82.95,153.47,165.90,114.95,212.67,229.90,123.95,229.32,247.90,144.95,268.17,289.90
Travel Insuranz,Classic,46,Days,46,Days,18,55,82.95,153.47,165.90,114.95,212.67,229.90,123.95,229.32,247.90,144.95,268.17,289.90
Travel Insuranz,Classic,47,Days,47,Days,18,55,82.95,153.47,165.90,114.95,212.67,229.90,123.95,229.32,247.90,144.95,268.17,289.90
Travel Insuranz,Classic,48,Days,48,Days,18,55,82.95,153.47,165.90,114.95,212.67,229.90,123.95,229.32,247.90,144.95,268.17,289.90
Travel Insuranz,Classic,49,Days,49,Days,18,55,82.95,153.47,165.90,114.95,212.67,229.90,123.95,229.32,247.90,144.95,268.17,289.90
Travel Insuranz,Classic,50,Days,50,Days,18,55,82.95,153.47,165.90,114.95,212.67,229.90,123.95,229.32,247.90,144.95,268.17,289.90
Travel Insuranz,Classic,51,Days,51,Days,18,55,87.95,162.72,175.90,120.95,223.77,241.90,129.95,240.42,259.90,152.95,282.97,305.90
Travel Insuranz,Classic,52,Days,52,Days,18,55,87.95,162.72,175.90,120.95,223.77,241.90,129.95,240.42,259.90,152.95,282.97,305.90
Travel Insuranz,Classic,53,Days,53,Days,18,55,87.95,162.72,175.90,120.95,223.77,241.90,129.95,240.42,259.90,152.95,282.97,305.90
Travel Insuranz,Classic,54,Days,54,Days,18,55,87.95,162.72,175.90,120.95,223.77,241.90,129.95,240.42,259.90,152.95,282.97,305.90
Travel Insuranz,Classic,55,Days,55,Days,18,55,87.95,162.72,175.90,120.95,223.77,241.90,129.95,240.42,259.90,152.95,282.97,305.90
Travel Insuranz,Classic,56,Days,56,Days,18,55,87.95,162.72,175.90,120.95,223.77,241.90,129.95,240.42,259.90,152.95,282.97,305.90
Travel Insuranz,Classic,57,Days,57,Days,18,55,87.95,162.72,175.90,120.95,223.77,241.90,129.95,240.42,259.90,152.95,282.97,305.90
Travel Insuranz,Classic,58,Days,58,Days,18,55,92.95,171.97,185.90,127.95,236.72,255.90,137.95,255.22,275.90,161.95,299.62,323.90
Travel Insuranz,Classic,59,Days,59,Days,18,55,92.95,171.97,185.90,127.95,236.72,255.90,137.95,255.22,275.90,161.95,299.62,323.90
Travel Insuranz,Classic,60,Days,60,Days,18,55,92.95,171.97,185.90,127.95,236.72,255.90,137.95,255.22,275.90,161.95,299.62,323.90
Travel Insuranz,Classic,61,Days,61,Days,18,55,92.95,171.97,185.90,127.95,236.72,255.90,137.95,255.22,275.90,161.95,299.62,323.90
Travel Insuranz,Classic,62,Days,62,Days,18,55,92.95,171.97,185.90,127.95,236.72,255.90,137.95,255.22,275.90,161.95,299.62,323.90
Travel Insuranz,Classic,63,Days,63,Days,18,55,92.95,171.97,185.90,127.95,236.72,255.90,137.95,255.22,275.90,161.95,299.62,323.90
Travel Insuranz,Classic,64,Days,64,Days,18,55,92.95,171.97,185.90,127.95,236.72,255.90,137.95,255.22,275.90,161.95,299.62,323.90
Travel Insuranz,Classic,65,Days,65,Days,18,55,97.95,181.22,195.90,135.95,251.52,271.90,145.95,270.02,291.90,169.95,314.42,339.90
Travel Insuranz,Classic,66,Days,66,Days,18,55,97.95,181.22,195.90,135.95,251.52,271.90,145.95,270.02,291.90,169.95,314.42,339.90
Travel Insuranz,Classic,67,Days,67,Days,18,55,97.95,181.22,195.90,135.95,251.52,271.90,145.95,270.02,291.90,169.95,314.42,339.90
Travel Insuranz,Classic,68,Days,68,Days,18,55,97.95,181.22,195.90,135.95,251.52,271.90,145.95,270.02,291.90,169.95,314.42,339.90
Travel Insuranz,Classic,69,Days,69,Days,18,55,97.95,181.22,195.90,135.95,251.52,271.90,145.95,270.02,291.90,169.95,314.42,339.90
Travel Insuranz,Classic,70,Days,70,Days,18,55,97.95,181.22,195.90,135.95,251.52,271.90,145.95,270.02,291.90,169.95,314.42,339.90
