CtM,provide_id,provider_name,provider_short_name,,,,
provider,301,Travel Insurance Saver,Travel Insurance Saver,,,,
products_headings,Product ID,ProductName,Is active?,Add?,Rename?,Include In Import?,
product,181,Essentials,1,0,0,1,
product,218,Bare Essentials,1,1,0,1,
properties_headings,ProductId,PropertyId,Value,Text,benefitOrder,,Label Reference
product_properties,218,excess,50,$50,0,,Excess
product_properties,218,agents,1500,"$1,500",0,,Agents Cancellation Fees
product_properties,218,medDental,999999999 ,Unlimited,0,,Medical and Dental Expenses
product_properties,218,suddenDental,1000,"$1,000",0,,Dental Expenses Due to Sudden and Acute Pain
product_properties,218,evacuationMed,250000,"$250,000",0,,Medical Evacuation and Repatriation
product_properties,218,traveldelay,200,$200,0,,Travel Delay
product_properties,218,luggage,2000,"$2,000",0,,Luggage and Personal Effects
product_properties,218,itemLimit,250,$250,0,,Individual Item Limit
product_properties,218,luggageEmerg,150,$150,0,,Emergency Luggage
product_properties,218,passport,500,$500,0,,Loss of Passport or Travel Documents
product_properties,218,death,5000,"$5,000",0,,Accidental Death
product_properties,218,funeral,15000,"$15,000",0,,Funeral Expenses
product_properties,218,liability,1000000,"$1,000,000",0,,Personal Liability
product_properties,218,multiTrip,0,N,0,,Multiple Trip
product_properties,218,infoDes,0,"Travel Insurance Saver are 100% Australian owned and operated and are an authorised representatives of QBE travel insurance. Key features include 21 day cooling off period, 24/7 worldwide emergency assistance, online claims processing and instant quotes and cover.",0,,Info
product_properties,218,medical,0,N/A,0,,Overseas Medical
product_properties,218,cdxfee,0,N/A,0,,Cancellation Fee
