POLICY,,DURATION (DAYS),,,,AGE GROUP,,PRICING (2 DECIMAL PLACES MAXIMUM),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INSURER NAME,POLICY NAME,MINIMUM VALUE,UNIT,MAXIMUM VALUE,UNIT,AGE MINIMUM,AGE MAXIMUM,,REGION 1,,,REGION 2,,,REGION 3,,,REGION 4,,,REGION 5,,,REGION 6,,,REGION 7,
,,,,,,,,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY
Virgin Money,Comprehensive,1,Days,3,Days,16,24,65.92,131.84,131.84,57.00,114.00,114.00,54.60,109.20,109.20,47.08,94.16,94.16,42.00,84.00,84.00,,,,,,
Virgin Money,Comprehensive,4,Days,4,Days,16,24,66.95,133.90,133.90,59.00,118.00,118.00,55.65,111.30,111.30,48.15,96.30,96.30,43.00,86.00,86.00,,,,,,
Virgin Money,Comprehensive,5,Days,5,Days,16,24,69.01,138.02,138.02,60.00,120.00,120.00,56.70,113.40,113.40,49.22,98.44,98.44,44.00,88.00,88.00,,,,,,
Virgin Money,Comprehensive,6,Days,6,Days,16,24,85.49,170.98,170.98,73.00,146.00,146.00,69.30,138.60,138.60,59.92,119.84,119.84,54.00,108.00,108.00,,,,,,
Virgin Money,Comprehensive,7,Days,7,Days,16,24,86.52,173.04,173.04,75.00,150.00,150.00,70.35,140.70,140.70,59.92,119.84,119.84,55.00,110.00,110.00,,,,,,
Virgin Money,Comprehensive,8,Days,8,Days,16,24,87.55,175.10,175.10,76.00,152.00,152.00,71.40,142.80,142.80,60.99,121.98,121.98,55.00,110.00,110.00,,,,,,
Virgin Money,Comprehensive,9,Days,9,Days,16,24,88.58,177.16,177.16,77.00,154.00,154.00,72.45,144.90,144.90,64.20,128.40,128.40,56.00,112.00,112.00,,,,,,
Virgin Money,Comprehensive,10,Days,10,Days,16,24,90.64,181.28,181.28,79.00,158.00,158.00,74.55,149.10,149.10,65.27,130.54,130.54,57.00,114.00,114.00,,,,,,
Virgin Money,Comprehensive,11,Days,11,Days,16,24,94.76,189.52,189.52,82.00,164.00,164.00,75.60,151.20,151.20,66.34,132.68,132.68,60.00,120.00,120.00,,,,,,
Virgin Money,Comprehensive,12,Days,12,Days,16,24,97.85,195.70,195.70,84.00,168.00,168.00,79.80,159.60,159.60,68.48,136.96,136.96,61.00,122.00,122.00,,,,,,
Virgin Money,Comprehensive,13,Days,13,Days,16,24,98.88,197.76,197.76,85.00,170.00,170.00,79.80,159.60,159.60,69.55,139.10,139.10,62.00,124.00,124.00,,,,,,
Virgin Money,Comprehensive,14,Days,14,Days,16,24,100.94,201.88,201.88,86.00,172.00,172.00,81.90,163.80,163.80,70.62,141.24,141.24,63.00,126.00,126.00,,,,,,
Virgin Money,Comprehensive,15,Days,15,Days,16,24,105.06,210.12,210.12,90.00,180.00,180.00,85.05,170.10,170.10,73.83,147.66,147.66,66.00,132.00,132.00,,,,,,
Virgin Money,Comprehensive,16,Days,16,Days,16,24,106.09,212.18,212.18,93.00,186.00,186.00,88.20,176.40,176.40,75.97,151.94,151.94,68.00,136.00,136.00,,,,,,
Virgin Money,Comprehensive,17,Days,17,Days,16,24,114.33,228.66,228.66,99.00,198.00,198.00,92.40,184.80,184.80,81.32,162.64,162.64,71.00,142.00,142.00,,,,,,
Virgin Money,Comprehensive,18,Days,18,Days,16,24,117.42,234.84,234.84,102.00,204.00,204.00,96.60,193.20,193.20,83.46,166.92,166.92,73.00,146.00,146.00,,,,,,
Virgin Money,Comprehensive,19,Days,19,Days,16,24,121.54,243.08,243.08,105.00,210.00,210.00,100.80,201.60,201.60,86.67,173.34,173.34,77.00,154.00,154.00,,,,,,
Virgin Money,Comprehensive,20,Days,20,Days,16,24,122.57,245.14,245.14,105.00,210.00,210.00,100.80,201.60,201.60,87.74,175.48,175.48,78.00,156.00,156.00,,,,,,
Virgin Money,Comprehensive,21,Days,21,Days,16,24,125.66,251.32,251.32,109.00,218.00,218.00,103.95,207.90,207.90,89.88,179.76,179.76,80.00,160.00,160.00,,,,,,
Virgin Money,Comprehensive,22,Days,22,Days,16,24,131.84,263.68,263.68,114.00,228.00,228.00,107.10,214.20,214.20,92.02,184.04,184.04,83.00,166.00,166.00,,,,,,
Virgin Money,Comprehensive,23,Days,23,Days,16,24,135.96,271.92,271.92,117.00,234.00,234.00,109.20,218.40,218.40,95.23,190.46,190.46,86.00,172.00,172.00,,,,,,
Virgin Money,Comprehensive,24,Days,24,Days,16,24,138.02,276.04,276.04,119.00,238.00,238.00,111.30,222.60,222.60,98.44,196.88,196.88,87.00,174.00,174.00,,,,,,
Virgin Money,Comprehensive,25,Days,25,Days,16,24,146.26,292.52,292.52,126.00,252.00,252.00,118.65,237.30,237.30,103.79,207.58,207.58,92.00,184.00,184.00,,,,,,
Virgin Money,Comprehensive,26,Days,26,Days,16,24,153.47,306.94,306.94,133.00,266.00,266.00,123.90,247.80,247.80,109.14,218.28,218.28,97.00,194.00,194.00,,,,,,
Virgin Money,Comprehensive,27,Days,27,Days,16,24,156.56,313.12,313.12,136.00,272.00,272.00,128.10,256.20,256.20,110.21,220.42,220.42,100.00,200.00,200.00,,,,,,
Virgin Money,Comprehensive,28,Days,28,Days,16,24,163.77,327.54,327.54,142.00,284.00,284.00,133.35,266.70,266.70,114.49,228.98,228.98,102.00,204.00,204.00,,,,,,
Virgin Money,Comprehensive,29,Days,29,Days,16,24,166.86,333.72,333.72,143.00,286.00,286.00,135.45,270.90,270.90,116.63,233.26,233.26,103.00,206.00,206.00,,,,,,
Virgin Money,Comprehensive,30,Days,30,Days,16,24,167.89,335.78,335.78,144.00,288.00,288.00,136.50,273.00,273.00,117.70,235.40,235.40,104.00,208.00,208.00,,,,,,
Virgin Money,Comprehensive,31,Days,31,Days,16,24,168.92,337.84,337.84,145.00,290.00,290.00,137.55,275.10,275.10,118.77,237.54,237.54,105.00,210.00,210.00,,,,,,
Virgin Money,Comprehensive,32,Days,32,Days,16,24,169.95,339.90,339.90,146.00,292.00,292.00,138.60,277.20,277.20,119.84,239.68,239.68,106.00,212.00,212.00,,,,,,
Virgin Money,Comprehensive,33,Days,33,Days,16,24,176.13,352.26,352.26,152.00,304.00,304.00,143.85,287.70,287.70,125.19,250.38,250.38,111.00,222.00,222.00,,,,,,
Virgin Money,Comprehensive,34,Days,34,Days,16,24,178.19,356.38,356.38,153.00,306.00,306.00,144.90,289.80,289.80,126.26,252.52,252.52,113.00,226.00,226.00,,,,,,
Virgin Money,Comprehensive,35,Days,35,Days,16,24,183.34,366.68,366.68,157.00,314.00,314.00,149.10,298.20,298.20,128.40,256.80,256.80,115.00,230.00,230.00,,,,,,
Virgin Money,Comprehensive,36,Days,36,Days,16,24,186.43,372.86,372.86,162.00,324.00,324.00,152.25,304.50,304.50,130.54,261.08,261.08,118.00,236.00,236.00,,,,,,
Virgin Money,Comprehensive,37,Days,37,Days,16,24,187.46,374.92,374.92,163.00,326.00,326.00,153.30,306.60,306.60,133.75,267.50,267.50,118.00,236.00,236.00,,,,,,
Virgin Money,Comprehensive,38,Days,38,Days,16,24,191.58,383.16,383.16,166.00,332.00,332.00,156.45,312.90,312.90,136.96,273.92,273.92,121.00,242.00,242.00,,,,,,
Virgin Money,Comprehensive,39,Days,39,Days,16,24,194.67,389.34,389.34,169.00,338.00,338.00,158.55,317.10,317.10,139.10,278.20,278.20,123.00,246.00,246.00,,,,,,
Virgin Money,Comprehensive,40,Days,40,Days,16,24,199.82,399.64,399.64,172.00,344.00,344.00,161.70,323.40,323.40,141.24,282.48,282.48,126.00,252.00,252.00,,,,,,
Virgin Money,Comprehensive,41,Days,41,Days,16,24,209.09,418.18,418.18,181.00,362.00,362.00,171.15,342.30,342.30,147.66,295.32,295.32,133.00,266.00,266.00,,,,,,
Virgin Money,Comprehensive,42,Days,42,Days,16,24,216.30,432.60,432.60,185.00,370.00,370.00,175.35,350.70,350.70,151.94,303.88,303.88,136.00,272.00,272.00,,,,,,
Virgin Money,Comprehensive,43,Days,43,Days,16,24,223.51,447.02,447.02,193.00,386.00,386.00,181.65,363.30,363.30,158.36,316.72,316.72,142.00,284.00,284.00,,,,,,
Virgin Money,Comprehensive,44,Days,44,Days,16,24,226.60,453.20,453.20,196.00,392.00,392.00,185.85,371.70,371.70,159.43,318.86,318.86,143.00,286.00,286.00,,,,,,
Virgin Money,Comprehensive,45,Days,45,Days,16,24,231.75,463.50,463.50,200.00,400.00,400.00,189.00,378.00,378.00,162.64,325.28,325.28,146.00,292.00,292.00,,,,,,
Virgin Money,Comprehensive,46,Days,46,Days,16,24,233.81,467.62,467.62,202.00,404.00,404.00,191.10,382.20,382.20,164.78,329.56,329.56,148.00,296.00,296.00,,,,,,
Virgin Money,Comprehensive,47,Days,47,Days,16,24,236.90,473.80,473.80,205.00,410.00,410.00,193.20,386.40,386.40,166.92,333.84,333.84,149.00,298.00,298.00,,,,,,
Virgin Money,Comprehensive,48,Days,48,Days,16,24,238.96,477.92,477.92,207.00,414.00,414.00,194.25,388.50,388.50,170.13,340.26,340.26,150.00,300.00,300.00,,,,,,
Virgin Money,Comprehensive,49,Days,49,Days,16,24,242.05,484.10,484.10,210.00,420.00,420.00,197.40,394.80,394.80,172.27,344.54,344.54,152.00,304.00,304.00,,,,,,
Virgin Money,Comprehensive,50,Days,50,Days,16,24,245.14,490.28,490.28,212.00,424.00,424.00,199.50,399.00,399.00,174.41,348.82,348.82,154.00,308.00,308.00,,,,,,
Virgin Money,Comprehensive,51,Days,51,Days,16,24,249.26,498.52,498.52,215.00,430.00,430.00,202.65,405.30,405.30,176.55,353.10,353.10,156.00,312.00,312.00,,,,,,
Virgin Money,Comprehensive,52,Days,52,Days,16,24,250.29,500.58,500.58,217.00,434.00,434.00,204.75,409.50,409.50,176.55,353.10,353.10,159.00,318.00,318.00,,,,,,
Virgin Money,Comprehensive,53,Days,53,Days,16,24,253.38,506.76,506.76,219.00,438.00,438.00,205.80,411.60,411.60,178.69,357.38,357.38,160.00,320.00,320.00,,,,,,
Virgin Money,Comprehensive,54,Days,54,Days,16,24,256.47,512.94,512.94,222.00,444.00,444.00,208.95,417.90,417.90,180.83,361.66,361.66,162.00,324.00,324.00,,,,,,
Virgin Money,Comprehensive,55,Days,55,Days,16,24,258.53,517.06,517.06,223.00,446.00,446.00,210.00,420.00,420.00,181.90,363.80,363.80,164.00,328.00,328.00,,,,,,
Virgin Money,Comprehensive,56,Days,56,Days,16,24,261.62,523.24,523.24,226.00,452.00,452.00,213.15,426.30,426.30,184.04,368.08,368.08,165.00,330.00,330.00,,,,,,
Virgin Money,Comprehensive,57,Days,57,Days,16,24,264.71,529.42,529.42,228.00,456.00,456.00,215.25,430.50,430.50,188.32,376.64,376.64,167.00,334.00,334.00,,,,,,
Virgin Money,Comprehensive,58,Days,58,Days,16,24,267.80,535.60,535.60,231.00,462.00,462.00,219.45,438.90,438.90,190.46,380.92,380.92,169.00,338.00,338.00,,,,,,
Virgin Money,Comprehensive,59,Days,59,Days,16,24,269.86,539.72,539.72,232.00,464.00,464.00,220.50,441.00,441.00,191.53,383.06,383.06,170.00,340.00,340.00,,,,,,
Virgin Money,Comprehensive,60,Days,62,Days,16,24,271.92,543.84,543.84,235.00,470.00,470.00,222.60,445.20,445.20,192.60,385.20,385.20,172.00,344.00,344.00,,,,,,
Virgin Money,Comprehensive,63,Days,92,Days,16,24,355.35,710.70,710.70,306.00,612.00,612.00,288.75,577.50,577.50,250.38,500.76,500.76,223.00,446.00,446.00,,,,,,
Virgin Money,Comprehensive,93,Days,123,Days,16,24,420.24,840.48,840.48,363.00,726.00,726.00,342.30,684.60,684.60,296.39,592.78,592.78,264.00,528.00,528.00,,,,,,
Virgin Money,Comprehensive,124,Days,153,Days,16,24,489.25,978.50,978.50,422.00,844.00,844.00,399.00,798.00,798.00,344.54,689.08,689.08,308.00,616.00,616.00,,,,,,
Virgin Money,Comprehensive,154,Days,184,Days,16,24,550.02,1100.04,1100.04,476.00,952.00,952.00,448.35,896.70,896.70,388.41,776.82,776.82,347.00,694.00,694.00,,,,,,
Virgin Money,Comprehensive,185,Days,215,Days,16,24,633.45,1266.90,1266.90,547.00,1094.00,1094.00,517.65,1035.30,1035.30,447.26,894.52,894.52,400.00,800.00,800.00,,,,,,
Virgin Money,Comprehensive,216,Days,245,Days,16,24,699.37,1398.74,1398.74,603.00,1206.00,1206.00,570.15,1140.30,1140.30,494.34,988.68,988.68,442.00,884.00,884.00,,,,,,
Virgin Money,Comprehensive,246,Days,276,Days,16,24,766.32,1532.64,1532.64,662.00,1324.00,1324.00,623.70,1247.40,1247.40,541.42,1082.84,1082.84,483.00,966.00,966.00,,,,,,
Virgin Money,Comprehensive,277,Days,306,Days,16,24,828.12,1656.24,1656.24,715.00,1430.00,1430.00,676.20,1352.40,1352.40,585.29,1170.58,1170.58,524.00,1048.00,1048.00,,,,,,
Virgin Money,Comprehensive,307,Days,337,Days,16,24,899.19,1798.38,1798.38,777.00,1554.00,1554.00,732.90,1465.80,1465.80,635.58,1271.16,1271.16,568.00,1136.00,1136.00,,,,,,
Virgin Money,Comprehensive,338,Days,365,Days,16,24,945.54,1891.08,1891.08,818.00,1636.00,1636.00,771.75,1543.50,1543.50,669.82,1339.64,1339.64,597.00,1194.00,1194.00,,,,,,
Virgin Money,Comprehensive,1,Days,3,Days,25,49,60.56,121.12,121.12,53.90,107.80,107.80,50.42,100.84,100.84,42.99,85.98,85.98,38.22,76.44,76.44,,,,,,
Virgin Money,Comprehensive,4,Days,4,Days,25,49,61.57,123.14,123.14,53.90,107.80,107.80,51.45,102.90,102.90,44.04,88.08,88.08,39.20,78.40,78.40,,,,,,
Virgin Money,Comprehensive,5,Days,5,Days,25,49,63.59,127.18,127.18,54.88,109.76,109.76,52.48,104.96,104.96,45.09,90.18,90.18,40.18,80.36,80.36,,,,,,
Virgin Money,Comprehensive,6,Days,6,Days,25,49,78.73,157.46,157.46,68.60,137.20,137.20,63.80,127.60,127.60,56.62,113.24,113.24,49.98,99.96,99.96,,,,,,
Virgin Money,Comprehensive,7,Days,7,Days,25,49,79.74,159.48,159.48,69.58,139.16,139.16,64.83,129.66,129.66,56.62,113.24,113.24,50.96,101.92,101.92,,,,,,
Virgin Money,Comprehensive,8,Days,8,Days,25,49,80.75,161.50,161.50,69.58,139.16,139.16,65.86,131.72,131.72,57.67,115.34,115.34,51.94,103.88,103.88,,,,,,
Virgin Money,Comprehensive,9,Days,9,Days,25,49,82.77,165.54,165.54,70.56,141.12,141.12,66.89,133.78,133.78,58.72,117.44,117.44,52.92,105.84,105.84,,,,,,
Virgin Money,Comprehensive,10,Days,10,Days,25,49,84.79,169.58,169.58,72.52,145.04,145.04,68.94,137.88,137.88,59.77,119.54,119.54,53.90,107.80,107.80,,,,,,
Virgin Money,Comprehensive,11,Days,11,Days,25,49,86.81,173.62,173.62,75.46,150.92,150.92,71.00,142.00,142.00,60.82,121.64,121.64,54.88,109.76,109.76,,,,,,
Virgin Money,Comprehensive,12,Days,12,Days,25,49,89.84,179.68,179.68,77.42,154.84,154.84,73.06,146.12,146.12,62.92,125.84,125.84,55.86,111.72,111.72,,,,,,
Virgin Money,Comprehensive,13,Days,13,Days,25,49,90.85,181.70,181.70,78.40,156.80,156.80,73.06,146.12,146.12,63.96,127.92,127.92,56.84,113.68,113.68,,,,,,
Virgin Money,Comprehensive,14,Days,14,Days,25,49,92.86,185.72,185.72,80.36,160.72,160.72,75.12,150.24,150.24,65.01,130.02,130.02,57.82,115.64,115.64,,,,,,
Virgin Money,Comprehensive,15,Days,15,Days,25,49,96.90,193.80,193.80,84.28,168.56,168.56,78.20,156.40,156.40,68.16,136.32,136.32,60.76,121.52,121.52,,,,,,
Virgin Money,Comprehensive,16,Days,16,Days,25,49,98.92,197.84,197.84,85.26,170.52,170.52,81.29,162.58,162.58,70.26,140.52,140.52,62.72,125.44,125.44,,,,,,
