POLICY,,DURATION,,,,AGE GROUP,,PRICING,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INSURER NAME,POLICY NAME,MINIMUM VALUE,UNIT,MAXIMUM VALUE,UNIT,AGE MINIMUM,AGE MAXIMUM,,REGION 1,,,REGION 2,,,REGION 3,,,REGION 4,,,REGION 5,,,REGION 6,,,REGION 7,
,,,,,,,,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY
Virgin Money,Comprehensive,1,Days,3,Days,16,24,64.6,129.2,129.2,55.86,111.72,111.72,53.51,107.02,107.02,46.14,92.28,92.28,41.16,82.32,82.32,,,,,,
Virgin Money,Comprehensive,4,Days,4,Days,16,24,65.61,131.22,131.22,57.82,115.64,115.64,54.54,109.08,109.08,47.19,94.38,94.38,42.14,84.28,84.28,,,,,,
Virgin Money,Comprehensive,5,Days,5,Days,16,24,67.63,135.26,135.26,58.8,117.6,117.6,55.57,111.14,111.14,48.24,96.48,96.48,43.12,86.24,86.24,,,,,,
Virgin Money,Comprehensive,6,Days,6,Days,16,24,83.78,167.56,167.56,71.54,143.08,143.08,67.91,135.82,135.82,58.72,117.44,117.44,52.92,105.84,105.84,,,,,,
Virgin Money,Comprehensive,7,Days,7,Days,16,24,84.79,169.58,169.58,73.5,147,147,68.94,137.88,137.88,58.72,117.44,117.44,53.9,107.8,107.8,,,,,,
Virgin Money,Comprehensive,8,Days,8,Days,16,24,85.8,171.6,171.6,74.48,148.96,148.96,69.97,139.94,139.94,59.77,119.54,119.54,53.9,107.8,107.8,,,,,,
Virgin Money,Comprehensive,9,Days,9,Days,16,24,86.81,173.62,173.62,75.46,150.92,150.92,71,142,142,62.92,125.84,125.84,54.88,109.76,109.76,,,,,,
Virgin Money,Comprehensive,10,Days,10,Days,16,24,88.83,177.66,177.66,77.42,154.84,154.84,73.06,146.12,146.12,63.96,127.92,127.92,55.86,111.72,111.72,,,,,,
Virgin Money,Comprehensive,11,Days,11,Days,16,24,92.86,185.72,185.72,80.36,160.72,160.72,74.09,148.18,148.18,65.01,130.02,130.02,58.8,117.6,117.6,,,,,,
Virgin Money,Comprehensive,12,Days,12,Days,16,24,95.89,191.78,191.78,82.32,164.64,164.64,78.2,156.4,156.4,67.11,134.22,134.22,59.78,119.56,119.56,,,,,,
Virgin Money,Comprehensive,13,Days,13,Days,16,24,96.9,193.8,193.8,83.3,166.6,166.6,78.2,156.4,156.4,68.16,136.32,136.32,60.76,121.52,121.52,,,,,,
Virgin Money,Comprehensive,14,Days,14,Days,16,24,98.92,197.84,197.84,84.28,168.56,168.56,80.26,160.52,160.52,69.21,138.42,138.42,61.74,123.48,123.48,,,,,,
Virgin Money,Comprehensive,15,Days,15,Days,16,24,102.96,205.92,205.92,88.2,176.4,176.4,83.35,166.7,166.7,72.35,144.7,144.7,64.68,129.36,129.36,,,,,,
