POLICY,,DURATION,,,,AGE GROUP,,PRICING,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INSURER NAME,POLICY NAME,MINIMUM VALUE,UNIT,MAXIMUM VALUE,UNIT,AGE MINIMUM,AGE MAXIMUM,,REGION 1,,,REGION 2,,,REGION 3,,,REGION 4,,,REGION 5,,,REGION 6,,,REGION 7,
,,,,,,,,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY
Webjet,Comprehensive Cover,1,Days,3,Days,16,75,72.69,138.11,145.38,57.44,109.14,114.88,51.06,97.01,102.12,42.12,80.04,84.25,40.42,76.8,80.84,,,,,,
Webjet,Comprehensive Cover,4,Days,4,Days,16,75,76.68,145.68,153.35,60.59,115.12,121.18,53.86,102.33,107.72,44.43,84.42,88.87,42.64,81.01,85.28,,,,,,
Webjet,Comprehensive Cover,5,Days,5,Days,16,75,80.65,153.24,161.31,63.74,121.1,127.47,56.65,107.64,113.31,46.74,88.81,93.48,44.85,85.22,89.7,,,,,,
Webjet,Comprehensive Cover,6,Days,6,Days,16,75,84.63,160.79,169.25,66.88,127.06,133.75,59.44,112.94,118.89,49.04,93.18,98.08,47.06,89.41,94.12,,,,,,
Webjet,Comprehensive Cover,7,Days,7,Days,16,75,88.59,168.32,177.18,70.01,133.02,140.02,62.23,118.24,124.46,51.34,97.54,102.68,49.26,93.6,98.53,,,,,,
Webjet,Comprehensive Cover,8,Days,8,Days,16,75,92.55,175.84,185.09,73.13,138.96,146.27,65.01,123.52,130.02,53.63,101.9,107.26,51.47,97.78,102.93,,,,,,
Webjet,Comprehensive Cover,9,Days,9,Days,16,75,96.5,183.34,192.99,76.26,144.89,152.51,67.78,128.79,135.57,55.92,106.25,111.84,53.66,101.96,107.32,,,,,,
Webjet,Comprehensive Cover,10,Days,10,Days,16,75,100.44,190.83,200.88,79.37,150.8,158.74,70.55,134.05,141.1,58.2,110.59,116.41,55.85,106.12,111.71,,,,,,
Webjet,Comprehensive Cover,11,Days,11,Days,16,75,104.37,198.31,208.74,82.48,156.71,164.96,73.31,139.3,146.63,60.48,114.92,120.97,58.04,110.28,116.08,,,,,,
Webjet,Comprehensive Cover,12,Days,12,Days,16,75,108.3,205.77,216.6,85.58,162.61,171.16,76.07,144.54,152.15,62.76,119.24,125.52,60.22,114.43,120.45,,,,,,
Webjet,Comprehensive Cover,13,Days,13,Days,16,75,112.22,213.21,224.44,88.68,168.49,177.36,78.83,149.77,157.65,65.03,123.56,130.06,62.4,118.57,124.81,,,,,,
Webjet,Comprehensive Cover,14,Days,14,Days,16,75,116.13,220.65,232.26,91.77,174.36,183.54,81.57,154.99,163.15,67.3,127.87,134.6,64.58,122.7,129.16,,,,,,
Webjet,Comprehensive Cover,15,Days,15,Days,16,75,120.03,228.06,240.07,94.86,180.23,189.71,84.32,160.2,168.63,69.56,132.17,139.12,66.75,126.83,133.5,,,,,,
Webjet,Comprehensive Cover,16,Days,16,Days,16,75,123.93,235.47,247.86,97.93,186.08,195.87,87.05,165.4,174.11,71.82,136.46,143.64,68.92,130.94,137.83,,,,,,
Webjet,Comprehensive Cover,17,Days,17,Days,16,75,127.82,242.86,255.64,101.01,191.92,202.02,89.79,170.59,179.57,74.07,140.74,148.15,71.08,135.05,142.16,,,,,,
Webjet,Comprehensive Cover,18,Days,18,Days,16,75,131.7,250.23,263.4,104.08,197.74,208.15,92.51,175.77,185.02,76.32,145.01,152.64,73.24,139.15,146.48,,,,,,
Webjet,Comprehensive Cover,19,Days,19,Days,16,75,135.57,257.59,271.15,107.14,203.56,214.27,95.23,180.94,190.47,78.57,149.28,157.13,75.39,143.25,150.79,,,,,,
Webjet,Comprehensive Cover,20,Days,20,Days,16,75,139.44,264.94,278.88,110.19,209.37,220.39,97.95,186.1,195.9,80.81,153.53,161.62,77.54,147.33,155.09,,,,,,
Webjet,Comprehensive Cover,21,Days,21,Days,16,75,143.3,272.27,286.6,113.24,215.16,226.48,100.66,191.25,201.32,83.04,157.78,166.09,79.69,151.41,159.38,,,,,,
Webjet,Comprehensive Cover,22,Days,22,Days,16,75,147.15,279.59,294.3,116.29,220.94,232.57,103.37,196.39,206.73,85.28,162.02,170.55,81.83,155.48,163.66,,,,,,
Webjet,Comprehensive Cover,23,Days,23,Days,16,75,151,286.89,301.99,119.32,226.71,238.65,106.07,201.52,212.13,87.5,166.26,175.01,83.97,159.54,167.94,,,,,,
Webjet,Comprehensive Cover,24,Days,24,Days,16,75,154.83,294.18,309.66,122.36,232.47,244.71,108.76,206.64,217.52,89.73,170.48,179.45,86.1,163.59,172.2,,,,,,
Webjet,Comprehensive Cover,25,Days,25,Days,16,75,158.66,301.46,317.32,125.38,238.22,250.76,111.45,211.75,222.9,91.95,174.7,183.89,88.23,167.64,176.46,,,,,,
Webjet,Comprehensive Cover,26,Days,26,Days,16,75,162.48,308.72,324.97,128.4,243.96,256.8,114.13,216.85,228.27,94.16,178.91,188.32,90.36,171.68,180.71,,,,,,
Webjet,Comprehensive Cover,27,Days,27,Days,16,75,166.3,315.96,332.59,131.41,249.69,262.83,116.81,221.94,233.63,96.37,183.1,192.74,92.48,175.71,184.95,,,,,,
Webjet,Comprehensive Cover,28,Days,28,Days,16,75,170.1,323.2,340.21,134.42,255.4,268.85,119.49,227.03,238.97,98.58,187.3,197.15,94.59,179.73,189.19,,,,,,
