CtM,provide_id,provider_name,provider_short_name,,,,
provider,305,Webjet,Webjet,,,,
products_headings,Product ID,ProductName,Is active?,Add?,Rename?,Include In Import?,
product,198,Comprehensive Cover,1,1,0,1,
product,199,Essentials,1,1,0,1,
product,200,Medical and Personal,1,1,0,1,
product,201,Worldwide Multi-trip Cover,1,1,0,1,
product,202,New Zealand only Multi-trip Cover,1,1,0,1,
product,203,Australia only Multi-trip Cover,1,1,0,1,
properties_headings,ProductId,PropertyId,Value,Text,benefitOrder,,Label Reference
product_properties,198,excess,100,$100,0,,
product_properties,198,medical,999999999,Unlimited,0,,
product_properties,198,medicalAssi,999999999,Unlimited,0,,
product_properties,198,cxdfee,999999999,Unlimited,0,,
product_properties,198,luggage,5000,"$5,000",0,,
product_properties,198,luggagedel,500,$500,0,,
product_properties,198,death,25000,"$25,000",0,,
product_properties,198,expenses,50000,"$50,000",0,,
product_properties,198,hospitalcas,5000,"$5,000",0,,
product_properties,198,traveldelayExp,1000,"$1,000",0,,
product_properties,198,disability,25000,"$25,000",0,,
product_properties,198,income,10400,"$10,400",0,,
product_properties,198,traveldocs,5000,"$5,000",0,,
product_properties,198,liability,5000000,"$5,000,000",0,,
product_properties,198,cashtheft,250,$250,0,,
product_properties,198,transport,5000,"$5,000",0,,
product_properties,198,rentalExcess,3000,"$3,000",0,,
product_properties,198,serviceInsolven,10000,"$10,000",0,,
product_properties,198,infoDes,0,"As Australia and New Zealand\'s leading online travel agency, Webjet leads the way in online travel tools and technology. Offering unparalleled choice in online travel bookings, Webjet offers a broad range of Travel Insurance products, with the opportunity to tailor your excess and control your premium to suit your needs. Backed by Allianz Global Assistance, we\'ve got you covered. Get a quote today and pack some peace of mind.",0,,
product_properties,198,subTitle,0,pds/travel/travel_PDS_WEBJ.pdf,0,,
product_properties,198,multiTrip,0,N,0,,
product_properties,199,excess,100,$100,0,,
product_properties,199,medical,5000000,"$5,000,000",0,,
product_properties,199,medicalAssi,5000000,"$5,000,000",0,,
product_properties,199,cxdfee,5000,"$5,000",0,,
product_properties,199,luggage,1500,"$1,500",0,,
product_properties,199,luggagedel,300,$300,0,,
product_properties,199,death,15000,"$15,000",0,,
product_properties,199,expenses,50000,"$50,000",0,,
product_properties,199,hospitalcas,1000,"$1,000",0,,
product_properties,199,traveldelayExp,1000,"$1,000",0,,
product_properties,199,disability,15000,"$15,000",0,,
product_properties,199,income,5200,"$5,200",0,,
product_properties,199,traveldocs,500,$500,0,,
product_properties,199,liability,2000000,"$2,000,000",0,,
product_properties,199,cashtheft,250,$250,0,,
product_properties,199,transport,2000,"$2,000",0,,
product_properties,199,rentalExcess,1000,"$1,000",0,,
product_properties,199,serviceInsolven,5000,"$5,000",0,,
product_properties,199,infoDes,0,"As Australia and New Zealand\'s leading online travel agency, Webjet leads the way in online travel tools and technology. Offering unparalleled choice in online travel bookings, Webjet offers a broad range of Travel Insurance products, with the opportunity to tailor your excess and control your premium to suit your needs. Backed by Allianz Global Assistance, we\'ve got you covered. Get a quote today and pack some peace of mind.",0,,
product_properties,199,subTitle,0,pds/travel/travel_PDS_WEBJ.pdf,0,,
product_properties,199,multiTrip,0,N,0,,
product_properties,200,excess,500,$500,0,,
product_properties,200,medical,50000,"$50,000",0,,
product_properties,200,medicalAssi,999999999,Unlimited,0,,
product_properties,200,cxdfee,0,N/A,0,,
product_properties,200,luggage,0,N/A,0,,
product_properties,200,liability,5000000,"$5,000,000",0,,
product_properties,200,infoDes,0,"As Australia and New Zealand\'s leading online travel agency, Webjet leads the way in online travel tools and technology. Offering unparalleled choice in online travel bookings, Webjet offers a broad range of Travel Insurance products, with the opportunity to tailor your excess and control your premium to suit your needs. Backed by Allianz Global Assistance, we\'ve got you covered. Get a quote today and pack some peace of mind.",0,,
product_properties,200,subTitle,0,pds/travel/travel_PDS_WEBJ.pdf,0,,
product_properties,200,multiTrip,0,N,0,,
product_properties,201,excess,100,$100,0,,
product_properties,201,medical,999999999,Unlimited,0,,
product_properties,201,medicalAssi,999999999,Unlimited,0,,
product_properties,201,cxdfee,999999999,Unlimited,0,,
product_properties,201,luggage,5000,"$5,000",0,,
product_properties,201,expenses,50000,"$50,000",0,,
product_properties,201,rentalExcess,3000,"$3,000",0,,
product_properties,201,serviceInsolven,10000,"$10,000",0,,
