POLICY,,DURATION (DAYS),,,,AGE GROUP,,PRICING (2 DECIMAL PLACES MAXIMUM),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
INSURER NAME,POLICY NAME,MINIMUM VALUE,UNIT,MAXIMUM VALUE,UNIT,AGE MINIMUM,AGE MAXIMUM,,REGION 1,,,REGION 2,,,REGION 3,,,REGION 4,,,REGION 5,,,REGION 6,
,,,,,,,,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY
Woolworths Travel Insurance,Basic,3,days,3,days,18,59,22.96,45.92,45.92,20.47,40.93,40.93,18.38,36.75,36.75,17.06,34.12,34.12,17.06,34.12,34.12,20.08,40.16,40.16
Woolworths Travel Insurance,Basic,4,days,4,days,18,59,31.49,62.97,62.97,26.87,53.73,53.73,24.27,48.55,48.55,22.96,45.92,45.92,22.96,45.92,45.92,27.02,54.04,54.04
Woolworths Travel Insurance,Basic,5,days,5,days,18,59,39.36,78.73,78.73,33.26,66.51,66.51,30.17,60.34,60.34,29.53,59.06,59.06,24.93,49.85,49.85,29.34,58.68,58.68
Woolworths Travel Insurance,Basic,6,days,6,days,18,59,45.27,90.54,90.54,39.66,79.31,79.31,34.11,68.22,68.22,31.49,62.97,62.97,25.59,51.18,51.18,30.12,60.24,60.24
Woolworths Travel Insurance,Basic,7,days,7,days,18,59,51.17,102.34,102.34,44.14,88.27,88.27,39.36,78.73,78.73,33.46,66.91,66.91,27.55,55.1,55.1,32.42,64.85,64.85
Woolworths Travel Insurance,Basic,8,days,8,days,18,59,54.44,108.89,108.89,46.06,92.11,92.11,40.67,81.34,81.34,34.11,68.22,68.22,28.21,56.42,56.42,33.2,66.41,66.41
Woolworths Travel Insurance,Basic,9,days,9,days,18,59,51.17,102.34,102.34,49.25,98.5,98.5,42.65,85.3,85.3,35.43,70.85,70.85,29.53,59.06,59.06,34.75,69.51,69.51
Woolworths Travel Insurance,Basic,10,days,10,days,18,59,53.8,107.6,107.6,51.17,102.34,102.34,44.61,89.22,89.22,36.09,72.18,72.18,30.17,60.34,60.34,35.51,71.02,71.02
Woolworths Travel Insurance,Basic,11,days,11,days,18,59,56.42,112.85,112.85,53.09,106.18,106.18,46.58,93.16,93.16,37.4,74.79,74.79,30.83,61.67,61.67,36.29,72.58,72.58
Woolworths Travel Insurance,Basic,12,days,12,days,18,59,59.7,119.4,119.4,56.29,112.59,112.59,48.55,97.09,97.09,38.05,76.1,76.1,32.15,64.3,64.3,37.84,75.68,75.68
Woolworths Travel Insurance,Basic,13,days,13,days,18,59,62.98,125.97,125.97,58.2,116.41,116.41,49.2,98.4,98.4,39.36,78.73,78.73,32.8,65.61,65.61,38.61,77.22,77.22
Woolworths Travel Insurance,Basic,14,days,14,days,18,59,65.61,131.21,131.21,60.76,121.53,121.53,51.17,102.34,102.34,40.67,81.34,81.34,33.46,66.91,66.91,39.38,78.75,78.75
Woolworths Travel Insurance,Basic,15,days,15,days,18,59,67.58,135.15,135.15,62.04,124.08,124.08,53.8,107.6,107.6,41.33,82.67,82.67,34.77,69.55,69.55,40.93,81.85,81.85
Woolworths Travel Insurance,Basic,16,days,16,days,18,59,68.88,137.77,137.77,63.97,127.94,127.94,54.44,108.89,108.89,42.65,85.3,85.3,40.67,81.34,81.34,47.87,95.74,95.74
Woolworths Travel Insurance,Basic,17,days,17,days,18,59,71.5,143.01,143.01,65.89,131.78,131.78,56.42,112.85,112.85,43.3,86.61,86.61,41.33,82.67,82.67,48.65,97.3,97.3
Woolworths Travel Insurance,Basic,18,days,18,days,18,59,83.97,167.95,167.95,67.8,135.59,135.59,57.73,115.46,115.46,45.27,90.54,90.54,42.65,85.3,85.3,50.2,100.39,100.39
Woolworths Travel Insurance,Basic,19,days,19,days,18,59,85.94,171.88,171.88,69.08,138.17,138.17,59.7,119.4,119.4,46.58,93.16,93.16,43.3,86.61,86.61,50.97,101.93,101.93
Woolworths Travel Insurance,Basic,20,days,20,days,18,59,87.91,175.82,175.82,71,142,142,60.36,120.73,120.73,47.23,94.46,94.46,44.61,89.22,89.22,52.5,105.01,105.01
Woolworths Travel Insurance,Basic,21,days,21,days,18,59,90.53,181.07,181.07,72.92,145.84,145.84,62.32,124.64,124.64,48.55,97.09,97.09,45.27,90.54,90.54,53.28,106.57,106.57
Woolworths Travel Insurance,Basic,22,days,22,days,18,59,93.16,186.31,186.31,74.84,149.68,149.68,63.64,127.28,127.28,49.2,98.4,98.4,46.58,93.16,93.16,54.82,109.64,109.64
Woolworths Travel Insurance,Basic,23,days,23,days,18,59,95.13,190.25,190.25,76.76,153.52,153.52,65.61,131.21,131.21,50.51,101.01,101.01,47.23,94.46,94.46,55.59,111.18,111.18
Woolworths Travel Insurance,Basic,24,days,24,days,18,59,97.75,195.5,195.5,78.68,157.36,157.36,66.91,133.83,133.83,51.17,102.34,102.34,48.55,97.09,97.09,57.14,114.28,114.28
Woolworths Travel Insurance,Basic,25,days,25,days,18,59,99.72,199.43,199.43,80.59,161.17,161.17,68.88,137.77,137.77,52.49,104.97,104.97,49.2,98.4,98.4,57.91,115.81,115.81
Woolworths Travel Insurance,Basic,26,days,26,days,18,59,101.69,203.37,203.37,82.52,165.03,165.03,69.54,139.07,139.07,53.8,107.6,107.6,51.17,102.34,102.34,60.22,120.45,120.45
Woolworths Travel Insurance,Basic,27,days,27,days,18,59,103.66,207.31,207.31,84.44,168.87,168.87,71.5,143.01,143.01,54.44,108.89,108.89,52.49,104.97,104.97,61.77,123.55,123.55
Woolworths Travel Insurance,Basic,28,days,28,days,18,59,106.93,213.86,213.86,86.35,172.71,172.71,72.82,145.64,145.64,55.76,111.52,111.52,53.8,107.6,107.6,63.32,126.65,126.65
Woolworths Travel Insurance,Basic,29,days,29,days,18,59,110.22,220.43,220.43,88.27,176.55,176.55,74.79,149.58,149.58,56.42,112.85,112.85,54.44,108.89,108.89,64.08,128.16,128.16
Woolworths Travel Insurance,Basic,30,days,30,days,18,59,112.84,225.68,225.68,91.47,182.94,182.94,76.76,153.52,153.52,58.38,116.77,116.77,56.42,112.85,112.85,66.41,132.82,132.82
Woolworths Travel Insurance,Basic,31,days,31,days,18,59,116.12,232.25,232.25,93.39,186.77,186.77,78.72,157.44,157.44,59.7,119.4,119.4,57.73,115.46,115.46,67.95,135.89,135.89
Woolworths Travel Insurance,Basic,32,days,32,days,18,59,119.4,238.8,238.8,96.58,193.16,193.16,80.7,161.4,161.4,61.67,123.34,123.34,58.38,116.77,116.77,68.72,137.43,137.43
Woolworths Travel Insurance,Basic,33,days,33,days,18,59,122.02,244.04,244.04,98.5,197,197,82.66,165.31,165.31,62.32,124.64,124.64,60.36,120.73,120.73,71.04,142.09,142.09
Woolworths Travel Insurance,Basic,34,days,34,days,18,59,125.31,250.61,250.61,100.42,200.84,200.84,84.64,169.27,169.27,64.3,128.6,128.6,61.67,123.34,123.34,72.58,145.16,145.16
Woolworths Travel Insurance,Basic,35,days,35,days,18,59,127.93,255.86,255.86,103.63,207.25,207.25,86.6,173.19,173.19,65.61,131.21,131.21,62.32,124.64,124.64,73.35,146.7,146.7
Woolworths Travel Insurance,Basic,36,days,42,days,18,59,152.2,304.41,304.41,129.21,258.41,258.41,108.91,217.82,217.82,85.94,171.88,171.88,82.66,165.31,165.31,97.28,194.57,194.57
Woolworths Travel Insurance,Basic,43,days,49,days,18,59,167.29,334.59,334.59,140.73,281.46,281.46,123.34,246.68,246.68,93.81,187.62,187.62,91.85,183.7,183.7,108.1,216.21,216.21
Woolworths Travel Insurance,Basic,50,days,56,days,18,59,191.57,383.13,383.13,155.43,310.86,310.86,132.52,265.04,265.04,103.66,207.31,207.31,99.72,199.43,199.43,117.36,234.73,234.73
