PRODUCT CODE,CREDIT CARD PROVIDER,SLUG,META PAGE TITLE,META PAGE DESCRIPTION,PRODUCT NAME (Short Description),PRODUCT TYPE,CARD CLASS,INTRODUCTORY INTEREST RATE,INTRODUCTORY INTEREST RATE PERIOD,INTEREST RATE,INTRODUCTORY BALANCE TRANSFER RATE,INTRODUCTORY BALANCE TRANSFER RATE PERIOD,BALANCE TRANSFER RATE,BALANCE TRANSFER FEE,INTRODUCTORY ANNUAL FEE,INTRODUCTORY ANNUAL FEE PERIOD,ANNUAL FEE,CASH ADVANCE RATE,REWARDS POINTS: STANDARD CARD CLASS,REWARDS POINTS: AMEX CARD POINTS,REWARDS POINTS: BONUS POINTS,SPECIAL OFFER,"PRODUCT DESCRIPTION
(Max 200 characters limit)",REWARDS DESCRIPTION (bullet points),OTHER FEATURES (Maximum 200 characters),INTEREST RATE TERMS AND CONDITIONS,REWARDS TERMS AND CONDITIONS,BALANCE TRANSFER TERMS AND CONDITIONS,OTHER FEATURES TERMS AND CONDITIONS,GENERAL TERMS AND CONDITIONS,ADDITIONAL CARD HOLDER,FOREIGN EXCHANGE FEES,COMPLIMENTARY TRAVEL INSURANCE,EXTENDED WARRANTY,AVAILABLE TO TEMPORARY RESIDENTS,INTEREST FREE DAYS,LATE PAYMENT FEE,MINIMUM INCOME,MINIMUM CREDIT LIMIT,MAXIMUM CREDIT LIMIT,MINIMUM MONTHLY REPAYMENT,CATEGORIES,HANDOVER URL,
HSBC-P,HSBC,hsbc-platinum,,,HSBC Platinum Credit Card,Platinum,Visa,N/A,N/A,19.99%,0%,8,21.99%,N/A,N/A,N/A,$0,21.99%,1,N/A,N/A,,"HSBC's most prestigious card, for people who want the best. Experience Platinum Privileges, powerful credit limits, your own concierge and so much more.",-Earn 1 Rewards Point on every dollar you spend on eligible purchases and choose your own rewards.,"-Insurance package available including Extended Warranty, Purchase Protection, Guaranteed Pricing, Transit Accident and International Travel Insurance (Eligibility and exclusions apply)
'-Visa Platinum Concierge Service
'-Theatre and Films- best seats in the house can be reserved for you, and a complimentary drink waiting for you when you arrive.
'-Home Entertainment- you can have first access to the newest home entertainment products and personal solutions to suit.
'-Music and Events- You can get up close and personal at events or concerts happening near you with front-selection seats, or backstage to meet your favourite artist.
'-Travel and Lifestyle Travel- You can can enjoy gallery or exhibition openings and unique cultural events. ","-Purchase excludes business expenses, interest free promotions, interest free merchant purchases, balance transfers and cash advances. Rewards Program terms, conditions and points capping limits apply.",[HSBC's Credit Card Rewards Program Terms and Conditions](http://www.hsbc.com.au/1/PA_ES_Content_Mgmt/content/australia/rewards-plus/pdf/rewards_terms.pdf),"-To be eligible for the introductory balance transfer rate, the balance transfer request must be made at the time of applying for the new HSBC credit card. The interest rate on the balance transfer applies for eight months and must be from non-HSBC credit cards. After this period, any balance outstanding from the balance transfer will accrue interest at the cash advance rate (currently 21.99% p.a. as at 9-Mar-15 and subject to change). HSBC will allocate payments we receive from you to pay off the portion of your balance which attracts the highest interest rate first and subsequently to portions of your balance attracting lower interest rates. This may mean applying any and all payments made to your HSBC Credit Card account to pay off other transactions such as purchases and cash advances before any balance transfer amount.","-[Insurance terms and conditions for Platinum cardholders](http://www.hsbc.com.au/1/PA_ES_Content_Mgmt/content/australia/common/pdf/personal/gp-insurance-tc.pdf)
'-[home&Away Privilege Program terms and conditions apply](http://www.hsbc.com.au/1/2/personal/credit-cards/home-away).","-Credit provided by HSBC Bank Australia Limited ABN 48 006 434 162 Australian Credit Licence 232595. Offer available to new, approved HSBC credit card holders who apply by 30-Apr-15. Fees, charges, terms and conditions apply.  HSBC's lending criteria applies. HSBC Credit Card account holders who have previously cancelled their card may be ineligible for this promotional offer.
'-[Conditions of use and other information](http://www.hsbc.com.au/1/PA_ES_Content_Mgmt/content/australia/common/pdf/personal/credit-card-terms.pdf)
'-[Credit card charges - your guide](http://www.hsbc.com.au/1/PA_ES_Content_Mgmt/content/australia/common/pdf/personal/cc-fees-charges.pdf)
'-[Personal financial services charges- your guide](http://www.hsbc.com.au/1/PA_ES_Content_Mgmt/content/australia/common/pdf/personal/fees-charges.pdf)
'- An annual fee of $129 usually applies, however HSBC has arranged for this to be waived for HSBC Platinum Credit Card holders for life when they apply between 1 June 2014 and 30 April 2015 and are approved.
'-Eligible purchases exclude interest free promotions, balance transfers, business expenses, cash advances, fees or charges, any disputed transactions, BPAY&reg; and any government fee or charge.",Yes,Yes,Yes,No,Yes,55,$30,"$60,000"," $6,000.00 ",,3%,"PLATINUM,REWARDS,BALANCETRANSFER,NOANNUALFEE",http://ad.doubleclick.net/ddm/clk/289877999;116984017;o,
HSBC-C,HSBC,hsbc-credit-card,,,HSBC Credit Card,No Annual Fee,Visa,N/A,N/A,17.99%,0%,6,21.99%,N/A,N/A,N/A,$0,21.99%,N/A,N/A,N/A,,The HSBC Credit Card redefines value with $0 annual fee for life and 0% p.a. Balance transfers for 6 months.,N/A,"-Special privileges at over 27,000 outlets worldwide with the home&Away Privilege Program. ",,,"-To be eligible for the introductory balance transfer rate, the balance transfer request must be made at the time of applying for the new HSBC credit card. The interest rate on the balance transfer applies for six months and must be from non-HSBC credit cards. After this period, any balance outstanding from the balance transfer will accrue interest at the cash advance rate (currently 21.99% p.a. as at 9-Mar-15 and subject to change). HSBC will allocate payments we receive from you to pay off the portion of your balance which attracts the highest interest rate first and subsequently to portions of your balance attracting lower interest rates. This may mean applying any and all payments made to your HSBC Credit Card account to pay off other transactions such as purchases and cash advances before any balance transfer amount. ",-Available at participating retailers only.  Minimum purchase and conditions apply. ,"-Interest free finance is applied only to promotional transactions for the specified period. Balances outstanding at the end of the promotional period will form part of the normal account balances and will accrue interest at the cash advance rate (currently 21.99% p.a. as at 9-Mar-15). 
'-Monthly repayments are required and calculated at 3% of the outstanding balance or $30, whichever is higher. 
'-Credit provided by HSBC Bank Australia Limited ABN 48 006 434 162 Australian Credit Licence 232595. Fees, charges, terms and conditions apply.  HSBC card account holders who have previously cancelled their card may be ineligible for this promotional offer.
'-[Conditions of use and other information](http://www.hsbc.com.au/1/PA_ES_Content_Mgmt/content/australia/common/pdf/personal/credit-card-terms.pdf)
'-[Credit card charges- your guide](http://www.hsbc.com.au/1/PA_ES_Content_Mgmt/content/australia/common/pdf/personal/cc-fees-charges.pdf)
'-[Personal financial services charges-your guide](http://www.hsbc.com.au/1/PA_ES_Content_Mgmt/content/australia/common/pdf/personal/fees-charges.pdf)",Yes,Yes,No,No,Yes,55,$30,"$20,000","$1,000",,3%,"NOANNUALFEE,BALANCETRANSFER",http://ad.doubleclick.net/ddm/clk/289957498;117087158;i,
HSBC-PQ,HSBC,hsbc-platinum-qantas,,,HSBC Platinum Qantas Credit Card,Platinum,Visa,N/A,N/A,19.99%,0%,6,21.99%,N/A,N/A,N/A,$199,21.99%,1,N/A,20000,,"Take off with Qantas rewards and travel privileges, all in one credit card. ","-As a Qantas Frequent Flyer member you'll get:
'--2 Qantas Frequent Flyer points for every $1 spent on eligible purchases overseas
'--1 Qantas Frequent Flyer point for every $1 spent on eligible purchases in Australia
'-20,000 Qantas Frequent Flyer points when you apply, are approved and conduct an eligible purchase within 3 months of applying","-2 Qantas Club lounge passes every year at no extra cost
'-Insurance package available including Extended Warranty, Purchase Protection, Guranteed Pricing, Transit Accident and International Travel Insurance. Eligibility criteria and conditions apply. 
'-Special privileges at over 19,00 retailers in more  than 160 countries and territories with the home&Away Privilege Program. ","-Depending on when you make your purchases, when your statement is issued, and if you pay off the outstanding balance on your next statement of account on or before the due date. There are no interest free days for cash advances or balance transfers. You will not gain the benefit of the interest free period unless you pay the full balance (including any balance transfer or promotional purchases) by the due date.","-Eligible purchases exclude interest free promotions, balance transfers, business expenses, cash advances, fees or charges, any disputed transactions, BPAY® and any government fee or charge. Points will ordinarily be credited within 2 months of making an eligible purchase.
'-Qantas Frequent Flyer points accrue in accordance with and subject to the HSBC Qantas Rewards terms and conditions. No points are earned on balance transfers, cash advances and other ineligible transactions. You must be a member of the Qantas Frequent Flyer program and provide your valid membership number to HSBC in order to earn and redeem points. Membership and points are subject to the terms and conditions of the Qantas Frequent Flyer program available at qantas.com/frequentflyer.
'-Invitations are valid for Qantas Club and Qantas operated international Business Lounges only. Not valid in International First Class Lounges, Chairman's Lounge, Qantas Domestic Business, Qantas oneworld® alliance airline, partner airline or associated lounges. Each invitation is valid for a single visit before the date specified on the invitation, when travelling with Qantas or Jetstar. Qantas Club rules apply which are available at qantas.com/qantasclub. Subject to Qantas Club Invitation Conditions available at hsbc.com.au Make an eligible purchase within the first 3 months of receiving your card to receive your two complimentary Qantas Club lounge invitations. Following that, each year, two complimentary Qantas Club lounge invitations will be issued to you within 30 days of the anniversary date of your first spend as long as you are a HSBC Platinum credit card account holder.
'-[HSBC's Credit Card Rewards Program Terms and Conditions](http://www.hsbc.com.au/1/PA_ES_Content_Mgmt/content/australia/rewards-plus/pdf/rewards_terms.pdf)
'-[HBSC's Platinum Qantas Credit Card - Qantas Club Invitation Conditions](http://www.hsbc.com.au/1/PA_ES_Content_Mgmt/content/australia/common/pdf/personal/plat-qantas-club-tc.pdf)
'-[HSBC'S Platinum Qantas Rewards Terms and Conditions](http://www.hsbc.com.au/1/PA_ES_Content_Mgmt/content/australia/common/pdf/personal/plat-qantas-rewards-tc.pdf)","-To be eligible for the introductory balance transfer rate, the balance transfer request must be made at the time of applying for the new HSBC credit card. The interest rate on the balance transfer applies for six months and must be from non-HSBC credit cards. After this period, any balance outstanding from the balance transfer will accrue interest at the cash advance rate (currently 21.99% p.a as at 9-Mar-15 and subject to change). HSBC will allocate payments we receive from you to pay off the portion of your balance which attracts the highest interest rate first and subsequently to portions of your balance attracting lower interest rates. This may mean applying any and all payments made to your HSBC Credit Card account to pay off other transactions such as purchases and cash advances before any balance transfer amount.",-[home&Away Privilege Program terms and conditions apply](http://www.hsbc.com.au/1/2/personal/credit-cards/home-away).,"-Credit provided by HSBC Bank Australia Limited ABN 48 006 434 162 Australian Credit Licence 232595. Offer available to new, approved HSBC credit cardholders who apply by 30-Apr-15. HSBC is the credit provider. Fees, charges, terms and conditions apply.  HSBC's lending criteria apply. HSBC Credit Card account holders who have previously cancelled their card may be ineligible for this promotional offer.
'-[Terms and conditions apply to insurances](http://www.hsbc.com.au/1/PA_ES_Content_Mgmt/content/australia/common/pdf/hsbcpremier/premier-insurance-tc.pdf). Insurance policies are issued by Zurich Australian Insurance Limited ABN 13 000 296 640 AFSL 232507. HSBC does not issue these insurances and does not receive commissions on these policies or guarantee any benefits under this cover. HSBC has entered into master policies for the benefit of cardholders. The cover provided is at no additional cost to cardholders. This document provides general information only and does not take into account what you currently have, want or need for your financial future. You should consider these matters and read the PDS.
'-A joining fee usually applies, however HSBC has arranged for this to be waived for HSBC Credit Card customers opting in to HSBC Qantas Rewards who are not already Qantas Frequent Flyer members. 
'-[Conditions of use and other information](http://www.hsbc.com.au/1/PA_ES_Content_Mgmt/content/australia/common/pdf/personal/credit-card-terms.pdf)
'-[Credit card charges- your guide](http://www.hsbc.com.au/1/PA_ES_Content_Mgmt/content/australia/common/pdf/personal/cc-fees-charges.pdf)
'-[Personal financial services charges - your guide](http://www.hsbc.com.au/1/PA_ES_Content_Mgmt/content/australia/common/pdf/personal/fees-charges.pdf)
",No,Yes,Yes,No,No,55,$30,"$60,000"," $6,000.00 ",,3%,"PLATINUM,REWARDS,FREQUENTFLYER,BALANCETRANSFER",http://ad.doubleclick.net/ddm/clk/289958729;117086181;b,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Internal Use Only,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Internal Use Only,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Internal Use Only,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Internal Use Only,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Internal Use Only,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Internal Use Only,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Internal Use Only,,
