POLICY,,DURATION (DAYS),,,,AGE GROUP,,PRICING (2 DECIMAL PLACES MAXIMUM),,,,,,,,,,,,,,,,,,,,,,,
INSURER NAME,POLICY NAME,MINIMUM VALUE DAYS,UNIT,MAXIMUM VALUE,UNIT,AGE MINIMUM,AGE MAXIMUM,,REGION 1,,,REGION 2,,,REGION 3,,,REGION 4,,,REGION 5,,,REGION 6,,,REGION 7,,,REGION 7,
Easy Travel Insurance,Budget Comprehensive $150 Excess,1,Days,5,Days,0,64,63.05,126.1,126.1,44.85,89.7,89.7,44.85,89.7,89.7,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $150 Excess,6,Days,9,Days,0,64,90.35,180.7,180.7,65,130,130,57.2,114.4,114.4,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $150 Excess,10,Days,12,Days,0,64,103.35,206.7,206.7,78,156,156,65,130,130,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $150 Excess,13,Days,16,Days,0,64,132.6,265.2,265.2,89.05,178.1,178.1,76.7,153.4,153.4,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $150 Excess,17,Days,23,Days,0,64,159.9,319.8,319.8,103.35,206.7,206.7,91.65,183.3,183.3,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $150 Excess,24,Days,28,Days,0,64,185.25,370.5,370.5,122.2,244.4,244.4,102.05,204.1,204.1,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $150 Excess,29,Days,35,Days,0,64,216.45,432.9,432.9,155.35,310.7,310.7,128.05,256.1,256.1,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $150 Excess,36,Days,42,Days,0,64,265.2,530.4,530.4,174.2,348.4,348.4,154.7,309.4,309.4,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $150 Excess,43,Days,49,Days,0,64,291.85,583.7,583.7,263.25,526.5,526.5,181.35,362.7,362.7,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $150 Excess,50,Days,56,Days,0,64,334.1,668.2,668.2,288.6,577.2,577.2,188.5,377,377,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $150 Excess,57,Days,63,Days,0,64,352.3,704.6,704.6,304.85,609.7,609.7,196.3,392.6,392.6,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $150 Excess,64,Days,70,Days,0,64,383.5,767,767,326.3,652.6,652.6,203.45,406.9,406.9,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $150 Excess,71,Days,91,Days,0,64,435.5,871,871,352.95,705.9,705.9,219.05,438.1,438.1,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $150 Excess,92,Days,122,Days,0,64,524.55,1049.1,1049.1,412.75,825.5,825.5,275.6,551.2,551.2,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $150 Excess,123,Days,152,Days,0,64,610.35,1220.7,1220.7,481,962,962,311.35,622.7,622.7,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $150 Excess,153,Days,182,Days,0,64,698.75,1397.5,1397.5,553.8,1107.6,1107.6,408.85,817.7,817.7,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $150 Excess,183,Days,213,Days,0,64,793,1586,1586,628.55,1257.1,1257.1,464.1,928.2,928.2,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $150 Excess,214,Days,243,Days,0,64,880.1,1760.2,1760.2,697.45,1394.9,1394.9,515.45,1030.9,1030.9,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $150 Excess,244,Days,274,Days,0,64,967.85,1935.7,1935.7,767,1534,1534,566.8,1133.6,1133.6,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $150 Excess,275,Days,304,Days,0,64,1055.6,2111.2,2111.2,835.9,1671.8,1671.8,618.15,1236.3,1236.3,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $150 Excess,305,Days,334,Days,0,64,1129.7,2259.4,2259.4,894.4,1788.8,1788.8,661.05,1322.1,1322.1,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $150 Excess,335,Days,365,Days,0,64,1197.3,2394.6,2394.6,947.7,1895.4,1895.4,700.7,1401.4,1401.4,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $150 Excess,1,Days,5,Days,65,69,71.5,143,143,47.45,94.9,94.9,47.45,94.9,94.9,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $150 Excess,6,Days,9,Days,65,69,102.7,205.4,205.4,68.25,136.5,136.5,59.8,119.6,119.6,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $150 Excess,10,Days,12,Days,65,69,118.3,236.6,236.6,81.25,162.5,162.5,68.25,136.5,136.5,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $150 Excess,13,Days,16,Days,65,69,150.8,301.6,301.6,92.95,185.9,185.9,80.6,161.2,161.2,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $150 Excess,17,Days,23,Days,65,69,182,364,364,108.55,217.1,217.1,96.2,192.4,192.4,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $150 Excess,24,Days,28,Days,65,69,211.25,422.5,422.5,128.05,256.1,256.1,107.25,214.5,214.5,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $150 Excess,29,Days,35,Days,65,69,246.35,492.7,492.7,163.8,327.6,327.6,134.55,269.1,269.1,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $150 Excess,36,Days,42,Days,65,69,302.25,604.5,604.5,222.95,445.9,445.9,193.7,387.4,387.4,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $150 Excess,43,Days,49,Days,65,69,332.15,664.3,664.3,272.35,544.7,544.7,238.55,477.1,477.1,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $150 Excess,50,Days,56,Days,65,69,380.25,760.5,760.5,288.6,577.2,577.2,251.55,503.1,503.1,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $150 Excess,57,Days,63,Days,65,69,401.7,803.4,803.4,305.5,611,611,265.85,531.7,531.7,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $150 Excess,64,Days,70,Days,65,69,437.45,874.9,874.9,305.5,611,611,276.9,553.8,553.8,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $150 Excess,71,Days,91,Days,65,69,547.95,1095.9,1095.9,406.25,812.5,812.5,345.8,691.6,691.6,,,,,,,,,,,,,,,
Easy Travel Insurance,Budget Comprehensive $150 Excess,92,Days,122,Days,65,69,662.35,1324.7,1324.7,488.8,977.6,977.6,412.75,825.5,825.5,,,,,,,,,,,,,,,
