POLICY,,DURATION (DAYS),,,,AGE GROUP,,PRICING (2 DECIMAL PLACES MAXIMUM),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
INSURER NAME,POLICY NAME,MINIMUM VALUE,UNIT,MAXIMUM VALUE,UNIT,AGE MINIMUM,AGE MAXIMUM,,REGION 1,,,REGION 2,,,REGION 3,,,REGION 4,,,REGION 5,,,REGION 6,
,,,,,,,,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY
Real Insurance,Real Travel Insurance Basic,1,days,2,days,18,49,30.63,61.27,61.27,25.6,51.2,51.2,22.99,45.98,45.98,22.76,45.51,45.51,21.35,42.7,42.7,25.12,50.23,50.23
Real Insurance,Real Travel Insurance Basic,3,days,3,days,18,49,42.01,84.01,84.01,33.61,67.21,67.21,30.37,60.74,60.74,30.63,61.27,61.27,28.73,57.47,57.47,33.82,67.64,67.64
Real Insurance,Real Travel Insurance Basic,4,days,4,days,18,49,52.51,105.01,105.01,41.59,83.19,83.19,37.74,75.47,75.47,39.37,78.75,78.75,31.21,62.41,62.41,36.75,73.5,73.5
Real Insurance,Real Travel Insurance Basic,5,days,5,days,18,49,60.39,120.79,120.79,49.61,99.22,99.22,42.66,85.32,85.32,42.01,84.01,84.01,32.03,64.06,64.06,37.71,75.42,75.42
Real Insurance,Real Travel Insurance Basic,6,days,6,days,18,49,68.26,136.52,136.52,55.22,110.44,110.44,49.24,98.48,98.48,44.64,89.28,89.28,34.47,68.94,68.94,40.6,81.19,81.19
Real Insurance,Real Travel Insurance Basic,7,days,7,days,18,49,72.63,145.26,145.26,57.61,115.22,115.22,50.88,101.76,101.76,45.5,91.01,91.01,35.31,70.61,70.61,41.56,83.13,83.13
Real Insurance,Real Travel Insurance Basic,8,days,8,days,18,49,68.26,136.52,136.52,61.62,123.24,123.24,53.35,106.7,106.7,47.26,94.52,94.52,39.18,78.37,78.37,43.49,86.98,86.98
Real Insurance,Real Travel Insurance Basic,9,days,9,days,18,49,71.77,143.53,143.53,64.01,128.02,128.02,55.8,111.6,111.6,48.14,96.27,96.27,40.05,80.1,80.1,44.45,88.9,88.9
Real Insurance,Real Travel Insurance Basic,10,days,10,days,18,49,75.26,150.52,150.52,66.41,132.82,132.82,58.27,116.55,116.55,49.88,99.77,99.77,40.93,81.86,81.86,45.42,90.84,90.84
Real Insurance,Real Travel Insurance Basic,11,days,11,days,18,49,81.36,162.72,162.72,70.41,140.82,140.82,60.72,121.45,121.45,51.85,103.71,103.71,43.82,87.63,87.63,47.37,94.74,94.74
