POLICY,POLICY,DURATION (DAYS),,,,AGE GROUP,,PRICING (2 DECIMAL PLACES MAXIMUM),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
INSURER ME,INSURER NAME,MINIMUM VALUE,UNIT,MAXIMUM VALUE,UNIT,AGE MINIMUM,AGE MAXIMUM,,REGION 1,,,REGION 2,,,REGION 3,,,REGION 4,,,REGION 5,,,REGION 6,
,,,,,,,,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Saver,1,days,3,days,18,59,21.23,42.46,42.46,18.93,37.86,37.86,17,34,34,15.77,31.55,31.55,15.77,31.55,31.55,18.57,37.13,37.13
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Saver,4,days,4,days,18,59,29.13,58.25,58.25,24.86,49.71,49.71,22.46,44.91,44.91,21.23,42.46,42.46,21.23,42.46,42.46,24.99,49.97,49.97
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Saver,5,days,5,days,18,59,36.42,72.84,72.84,30.76,61.53,61.53,27.91,55.82,55.82,27.31,54.62,54.62,23.06,46.12,46.12,27.14,54.28,54.28
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Saver,6,days,6,days,18,59,41.88,83.75,83.75,36.68,73.36,73.36,31.56,63.12,63.12,29.13,58.25,58.25,23.67,47.34,47.34,27.86,55.72,55.72
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Saver,7,days,7,days,18,59,47.33,94.66,94.66,40.83,81.66,81.66,36.42,72.84,72.84,30.94,61.89,61.89,25.49,50.98,50.98,30,60,60
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Saver,8,days,8,days,18,59,50.37,100.73,100.73,42.6,85.2,85.2,37.62,75.23,75.23,31.56,63.12,63.12,26.09,52.18,52.18,30.71,61.42,61.42
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Saver,9,days,9,days,18,59,47.33,94.66,94.66,45.56,91.13,91.13,39.44,78.89,78.89,32.77,65.55,65.55,27.31,54.62,54.62,32.14,64.28,64.28
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Saver,10,days,10,days,18,59,49.76,99.53,99.53,47.33,94.66,94.66,41.26,82.53,82.53,33.39,66.77,66.77,27.91,55.82,55.82,32.85,65.7,65.7
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Saver,11,days,11,days,18,59,52.19,104.39,104.39,49.11,98.22,98.22,43.09,86.18,86.18,34.58,69.16,69.16,28.52,57.05,57.05,33.57,67.14,67.14
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Saver,12,days,12,days,18,59,55.23,110.46,110.46,52.06,104.13,104.13,44.91,89.82,89.82,35.19,70.39,70.39,29.74,59.48,59.48,35,70,70
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Saver,13,days,13,days,18,59,58.26,116.53,116.53,53.84,107.68,107.68,45.51,91.03,91.03,36.42,72.84,72.84,30.35,60.7,60.7,35.72,71.45,71.45
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Saver,14,days,14,days,18,59,60.68,121.37,121.37,56.2,112.41,112.41,47.33,94.66,94.66,37.62,75.23,75.23,30.94,61.89,61.89,36.42,72.84,72.84
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Saver,15,days,15,days,18,59,62.5,125.01,125.01,57.39,114.78,114.78,49.76,99.53,99.53,38.23,76.46,76.46,32.16,64.32,64.32,37.85,75.7,75.7
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Saver,16,days,16,days,18,59,63.72,127.44,127.44,59.17,118.33,118.33,50.37,100.73,100.73,39.44,78.89,78.89,37.62,75.23,75.23,44.27,88.55,88.55
